dataset,processing_version,all_rows,primary_rows,duplicates_removed,duplicate_groups,primary_sources,sensitivity_sources,canonical_columns_all_rows,target_canonical_name,target_missing_primary,special_annotation_rows,ratio_available_primary,built_at_utc
cell_viability,1.0.0,617,608,9,7,75,76.0,65,cell_viability_percent,0,22,,2026-07-21T02:46:25.039910+00:00
filament_diameter,1.0.0,339,286,53,43,54,,58,filament_diameter_um,0,0,286.0,2026-07-21T02:46:26.050673+00:00
