dataset,dataset_code,validation_design,repeat,outer_fold,split_id,split_seed,train_rows,test_rows,train_sources,test_sources,overlapping_source_count,test_rows_with_source_seen_in_training,test_source_seen_fraction,heldout_source_id
cell_viability,CV,random_rowwise,4,1,CV_random_rowwise_r04_f001,4233346616,486,122,74,56,55,120,0.9836065573770492,
cell_viability,CV,random_rowwise,4,2,CV_random_rowwise_r04_f002,4233346616,486,122,74,48,47,121,0.9918032786885246,
cell_viability,CV,random_rowwise,4,3,CV_random_rowwise_r04_f003,4233346616,486,122,74,48,47,121,0.9918032786885246,
cell_viability,CV,random_rowwise,4,4,CV_random_rowwise_r04_f004,4233346616,487,121,74,56,55,119,0.9834710743801653,
cell_viability,CV,random_rowwise,4,5,CV_random_rowwise_r04_f005,4233346616,487,121,74,50,49,120,0.9917355371900827,
cell_viability,CV,random_rowwise,5,1,CV_random_rowwise_r05_f001,1359334306,486,122,74,55,54,121,0.9918032786885246,
cell_viability,CV,random_rowwise,5,2,CV_random_rowwise_r05_f002,1359334306,486,122,73,50,48,120,0.9836065573770492,
cell_viability,CV,random_rowwise,5,3,CV_random_rowwise_r05_f003,1359334306,486,122,75,54,54,122,1.0,
cell_viability,CV,random_rowwise,5,4,CV_random_rowwise_r05_f004,1359334306,487,121,75,50,50,121,1.0,
cell_viability,CV,random_rowwise,5,5,CV_random_rowwise_r05_f005,1359334306,487,121,74,55,54,117,0.9669421487603306,
cell_viability,CV,publication_grouped,1,1,CV_publication_grouped_r01_f001,1050824782,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,1,2,CV_publication_grouped_r01_f002,1050824782,486,122,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,1,3,CV_publication_grouped_r01_f003,1050824782,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,1,4,CV_publication_grouped_r01_f004,1050824782,486,122,59,16,0,0,0.0,
cell_viability,CV,publication_grouped,1,5,CV_publication_grouped_r01_f005,1050824782,486,122,61,14,0,0,0.0,
cell_viability,CV,publication_grouped,2,1,CV_publication_grouped_r02_f001,869111205,486,122,59,16,0,0,0.0,
cell_viability,CV,publication_grouped,2,2,CV_publication_grouped_r02_f002,869111205,487,121,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,2,3,CV_publication_grouped_r02_f003,869111205,486,122,61,14,0,0,0.0,
cell_viability,CV,publication_grouped,2,4,CV_publication_grouped_r02_f004,869111205,486,122,60,15,0,0,0.0,
cell_viability,CV,publication_grouped,2,5,CV_publication_grouped_r02_f005,869111205,487,121,60,15,0,0,0.0,
