dataset,target_key,validation_design,repeat,outer_fold,meta_row_id,global_mean_prediction,source_mean_prediction,source_seen_in_training,used_global_fallback,prediction_difference
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0376-ca5d5ae1467c,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0377-c3562b72bd6f,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0378-824e5b61431a,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0379-2be65daeb369,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0380-6ad49a3c69d7,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0381-3d7ed60baa2e,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0382-77857581b265,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0383-8cbfce2c93a8,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,8,CV-0384-06c2252ab061,79.96959098497497,79.96959098497497,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0385-c8544ae006f8,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0386-27e742960252,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0387-5eaa607e7985,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0388-f72cc8044a66,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0389-4b9649cc8c0d,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0390-5523018cf4e0,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0391-10ba2356a32d,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0392-7e6b12a8b097,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0393-bf35f8a26dbd,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0394-ca7d645bed48,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0395-98ddabc4c454,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0396-eed476a25193,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0397-73ba67c47559,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0398-297bd46b5ff8,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,9,CV-0399-fc12b191a3fa,79.38125632377741,79.38125632377741,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,10,CV-0114-322d9f9776c6,79.32148739495798,79.32148739495798,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,10,CV-0115-61f6acb6b0f7,79.32148739495798,79.32148739495798,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,10,CV-0116-0f9f3854dfe9,79.32148739495798,79.32148739495798,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,10,CV-0117-7e9bf37fffee,79.32148739495798,79.32148739495798,False,True,0.0
cell_viability,cell_viability,leave_one_publication_out,1,10,CV-0118-ab5245b7fa45,79.32148739495798,79.32148739495798,False,True,0.0
