dataset,outcome_column,total_rows,missing_count,parse_failure_count,unique_numeric_values,minimum,maximum,mean,median,standard_deviation,values_below_zero,values_equal_zero,values_above_100,nonpositive_values
cell_viability,Viability_at_time_of_observation_(%),617,0,0,360,3.9,100.0,79.90791734197731,85.0,16.97425201328071,0,0,0.0,
filament_diameter,Filament_Diameter_(µm),339,0,0,208,68.27,2922.58,745.6906138643068,747.1096,398.8876797531389,0,0,,0.0
