dataset,dataset_label,publications,minimum_rows,q1_rows,median_rows,mean_rows,q3_rows,maximum_rows,single_observation_publications,publications_fewer_than_3,publications_fewer_than_5
cell_viability,Cell viability,75,1,3.5,6.0,8.106666666666667,10.0,42,3,9,35
filament_diameter,Filament diameter,54,1,2.25,4.0,5.296296296296297,6.0,30,7,14,35
