raw_file_id,filename,extension,mime_type,file_size_bytes,sha256,stored_path,source_role,content_modified_by_pipeline,manifest_generated_at_utc
RAW-001,Cell viability and extrusion dataset V1 (1).csv,.csv,text/csv,106643,145877f3dfda8941547af8727dd6eefb74ba6fd576c92f1693749254e1f7c373,/content/drive/MyDrive/Research_Projects/source-dependence-cross-publication-transportability-extrusion-bioprinting/data/raw/Cell viability and extrusion dataset V1 (1).csv,original_publication_supplementary_data,False,2026-07-21T02:20:24.344838+00:00
RAW-002,Filament diameter dataset V1 (1).csv,.csv,text/csv,46466,ef21bdf52e1f371b6be4d6d2d5ceb15af2ae7962a74b9365965671b938a3e629,/content/drive/MyDrive/Research_Projects/source-dependence-cross-publication-transportability-extrusion-bioprinting/data/raw/Filament diameter dataset V1 (1).csv,original_publication_supplementary_data,False,2026-07-21T02:20:24.347371+00:00
