dataset,outer_validation_design,outer_repeat,outer_fold,outer_split_id,inner_validation_design,inner_fold,inner_seed,inner_train_rows,inner_validation_rows,inner_train_sources,inner_validation_sources,overlapping_source_count,validation_source_seen_fraction
cell_viability,leave_one_publication_out,1,11,CV_leave_one_publication_out_r01_f011,publication_grouped,1,2122233493,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,11,CV_leave_one_publication_out_r01_f011,publication_grouped,2,2122233493,447,149,57,17,0,0.0
cell_viability,leave_one_publication_out,1,11,CV_leave_one_publication_out_r01_f011,publication_grouped,3,2122233493,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,11,CV_leave_one_publication_out_r01_f011,publication_grouped,4,2122233493,447,149,55,19,0,0.0
cell_viability,leave_one_publication_out,1,12,CV_leave_one_publication_out_r01_f012,publication_grouped,1,1554509140,454,152,55,19,0,0.0
cell_viability,leave_one_publication_out,1,12,CV_leave_one_publication_out_r01_f012,publication_grouped,2,1554509140,454,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,12,CV_leave_one_publication_out_r01_f012,publication_grouped,3,1554509140,455,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,12,CV_leave_one_publication_out_r01_f012,publication_grouped,4,1554509140,455,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,13,CV_leave_one_publication_out_r01_f013,publication_grouped,1,2081861138,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,13,CV_leave_one_publication_out_r01_f013,publication_grouped,2,2081861138,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,13,CV_leave_one_publication_out_r01_f013,publication_grouped,3,2081861138,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,13,CV_leave_one_publication_out_r01_f013,publication_grouped,4,2081861138,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,14,CV_leave_one_publication_out_r01_f014,publication_grouped,1,2500906300,424,142,55,19,0,0.0
cell_viability,leave_one_publication_out,1,14,CV_leave_one_publication_out_r01_f014,publication_grouped,2,2500906300,425,141,55,19,0,0.0
cell_viability,leave_one_publication_out,1,14,CV_leave_one_publication_out_r01_f014,publication_grouped,3,2500906300,424,142,56,18,0,0.0
cell_viability,leave_one_publication_out,1,14,CV_leave_one_publication_out_r01_f014,publication_grouped,4,2500906300,425,141,56,18,0,0.0
cell_viability,leave_one_publication_out,1,15,CV_leave_one_publication_out_r01_f015,publication_grouped,1,1989634982,442,148,56,18,0,0.0
cell_viability,leave_one_publication_out,1,15,CV_leave_one_publication_out_r01_f015,publication_grouped,2,1989634982,443,147,56,18,0,0.0
cell_viability,leave_one_publication_out,1,15,CV_leave_one_publication_out_r01_f015,publication_grouped,3,1989634982,443,147,55,19,0,0.0
cell_viability,leave_one_publication_out,1,15,CV_leave_one_publication_out_r01_f015,publication_grouped,4,1989634982,442,148,55,19,0,0.0
cell_viability,leave_one_publication_out,1,16,CV_leave_one_publication_out_r01_f016,publication_grouped,1,3364011929,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,16,CV_leave_one_publication_out_r01_f016,publication_grouped,2,3364011929,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,16,CV_leave_one_publication_out_r01_f016,publication_grouped,3,3364011929,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,16,CV_leave_one_publication_out_r01_f016,publication_grouped,4,3364011929,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,17,CV_leave_one_publication_out_r01_f017,publication_grouped,1,679035855,456,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,17,CV_leave_one_publication_out_r01_f017,publication_grouped,2,679035855,455,152,55,19,0,0.0
cell_viability,leave_one_publication_out,1,17,CV_leave_one_publication_out_r01_f017,publication_grouped,3,679035855,455,152,55,19,0,0.0
cell_viability,leave_one_publication_out,1,17,CV_leave_one_publication_out_r01_f017,publication_grouped,4,679035855,455,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,18,CV_leave_one_publication_out_r01_f018,publication_grouped,1,4078808243,433,145,56,18,0,0.0
cell_viability,leave_one_publication_out,1,18,CV_leave_one_publication_out_r01_f018,publication_grouped,2,4078808243,434,144,55,19,0,0.0
cell_viability,leave_one_publication_out,1,18,CV_leave_one_publication_out_r01_f018,publication_grouped,3,4078808243,433,145,56,18,0,0.0
cell_viability,leave_one_publication_out,1,18,CV_leave_one_publication_out_r01_f018,publication_grouped,4,4078808243,434,144,55,19,0,0.0
cell_viability,leave_one_publication_out,1,19,CV_leave_one_publication_out_r01_f019,publication_grouped,1,1035742610,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,19,CV_leave_one_publication_out_r01_f019,publication_grouped,2,1035742610,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,19,CV_leave_one_publication_out_r01_f019,publication_grouped,3,1035742610,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,19,CV_leave_one_publication_out_r01_f019,publication_grouped,4,1035742610,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,20,CV_leave_one_publication_out_r01_f020,publication_grouped,1,4128251946,454,151,56,18,0,0.0
cell_viability,leave_one_publication_out,1,20,CV_leave_one_publication_out_r01_f020,publication_grouped,2,4128251946,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,20,CV_leave_one_publication_out_r01_f020,publication_grouped,3,4128251946,454,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,20,CV_leave_one_publication_out_r01_f020,publication_grouped,4,4128251946,453,152,56,18,0,0.0
cell_viability,leave_one_publication_out,1,21,CV_leave_one_publication_out_r01_f021,publication_grouped,1,3719071434,450,149,56,18,0,0.0
cell_viability,leave_one_publication_out,1,21,CV_leave_one_publication_out_r01_f021,publication_grouped,2,3719071434,449,150,56,18,0,0.0
cell_viability,leave_one_publication_out,1,21,CV_leave_one_publication_out_r01_f021,publication_grouped,3,3719071434,449,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,21,CV_leave_one_publication_out_r01_f021,publication_grouped,4,3719071434,449,150,55,19,0,0.0
cell_viability,leave_one_publication_out,1,22,CV_leave_one_publication_out_r01_f022,publication_grouped,1,2074177286,453,151,55,19,0,0.0
cell_viability,leave_one_publication_out,1,22,CV_leave_one_publication_out_r01_f022,publication_grouped,2,2074177286,453,151,57,17,0,0.0
cell_viability,leave_one_publication_out,1,22,CV_leave_one_publication_out_r01_f022,publication_grouped,3,2074177286,453,151,55,19,0,0.0
