dataset,analysis_set,meta_primary_source_id,row_count,target_mean,target_median,target_minimum,target_maximum
cell_viability,all_rows,doi:10.1089/biores.2013.0031,4,97.0,96.5,96.0,99.0
cell_viability,all_rows,doi:10.1089/ten.a.2007.0004,21,60.94285714285714,64.6,42.8,85.0
cell_viability,all_rows,doi:10.1089/ten.a.2007.0158,9,82.33333333333333,80.0,72.0,96.0
cell_viability,all_rows,doi:10.1089/ten.tec.2007.0392,6,82.0,82.0,79.0,85.0
cell_viability,all_rows,doi:10.1089/ten.tec.2015.0307,10,83.31,84.25,76.0,90.75
cell_viability,all_rows,doi:10.1115/1.3128729,4,80.33500000000001,80.465,75.67,84.74
cell_viability,all_rows,doi:10.1115/1.4024575,30,68.81833333333334,68.5,31.0,98.0
cell_viability,all_rows,doi:10.1115/1.4043960,2,98.03,98.03,97.5,98.56
cell_viability,all_rows,doi:10.18063/ijb.v5i2.2.204,19,62.04736842105264,62.6,43.5,81.0
cell_viability,all_rows,doi:10.18063/ijb.v6i1.250,2,55.05,55.05,54.1,56.0
cell_viability,all_rows,doi:10.3390/ma13194237,3,98.27,98.33,97.62,98.86
cell_viability,all_rows,doi:10.3390/polym12102346,2,91.0,91.0,90.17,91.83
cell_viability,primary,doi:10.1002/adfm.201700798,4,87.5,90.0,80.0,90.0
cell_viability,primary,doi:10.1002/adhm.201500677,7,90.0,92.0,76.0,96.0
cell_viability,primary,doi:10.1002/adhm.201601451,9,83.11111111111111,85.8,69.0,91.0
cell_viability,primary,doi:10.1002/adhm.201801631,3,77.80333333333334,76.17,74.26,82.98
cell_viability,primary,doi:10.1002/adhm.201901544,4,80.975,81.5,75.3,85.6
cell_viability,primary,doi:10.1002/adhm.201901792,4,92.975,93.1,87.6,98.1
cell_viability,primary,doi:10.1002/adma.201305506,10,74.65,76.5,61.0,82.0
cell_viability,primary,doi:10.1002/adma.201503310,9,61.388888888888886,74.0,28.0,83.4
cell_viability,primary,doi:10.1002/adma.201604983,15,92.08,92.6,86.3,96.9
cell_viability,primary,doi:10.1002/adma.201703443,13,96.76923076923077,96.3,95.4,98.1
cell_viability,primary,doi:10.1002/biot.200900004,12,67.91666666666667,68.5,47.0,84.0
cell_viability,primary,doi:10.1002/jbm.a.34420,2,83.0,83.0,81.4,84.6
cell_viability,primary,doi:10.1002/jbm.a.36036,4,63.925,68.8,22.5,95.6
cell_viability,primary,doi:10.1002/mabi.201600472,42,92.12452380952381,95.395,43.16,99.8
cell_viability,primary,doi:10.1002/smll.201905505,18,86.60555555555555,92.0,34.6,95.9
cell_viability,primary,doi:10.1002/term.1682,4,90.5,90.5,85.0,96.0
cell_viability,primary,doi:10.1007/s00289-020-03421-y,1,95.25,95.25,95.25,95.25
