dataset,target_family,target_key,target_column,target_label,unit,feature_set,model_key,model_display_name,feature_set_display_name,random_macro_publication_mae_mean,random_mae_mean,random_rmse_mean,random_r2_mean,grouped_macro_publication_mae_mean,grouped_mae_mean,grouped_rmse_mean,grouped_r2_mean,lopo_macro_publication_mae_mean,lopo_mae_mean,lopo_rmse_mean,lopo_r2_mean,grouped_minus_random_macro_mae,grouped_macro_mae_understatement_percent,lopo_minus_random_macro_mae,lopo_macro_mae_understatement_percent,random_minus_grouped_r2,random_minus_lopo_r2
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,core_physics,elastic_net,Elastic Net,Core physics,269.94964938461305,219.23593231434188,381.34635160074447,0.0707382457605356,373.6387009362644,341.4219790444454,575.1506165537628,-1.121567034630359,350.5682678709071,368.43625068753727,515.3553420084957,-0.5609047552853257,103.68905155165135,27.75115406723853,80.61861848629405,22.996553275033143,1.1923052803908947,0.6316430010458612
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,core_physics,random_forest,Random Forest,Core physics,151.86014333782828,114.87686419983709,192.06826995435716,0.7828266048632074,287.24312570888094,279.3037242001074,364.44119623436603,0.2191372170619103,300.160806870296,286.3698054947305,374.1799817261485,0.17714381426096604,135.38298237105266,47.13184416056746,148.30066353246775,49.40707118919449,0.5636893878012972,0.6056827906022414
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,core_physics,rbf_svr,RBF-SVR,Core physics,210.08565083220896,167.36930756290934,268.61830180674275,0.575890036282362,282.0531604293801,281.32037614127216,372.4235910142832,0.1845780985256076,272.95981385662776,265.07803875087353,351.7529494857595,0.2728260126152443,71.96750959717116,25.51558347639584,62.874163024418806,23.034219629649762,0.39131193775675444,0.3030640236671177
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,core_physics,ridge,Ridge regression,Core physics,269.92251856852806,219.70764072224614,382.72990397053053,0.06351451721918984,377.9270475406756,348.70782988933524,599.5350083599199,-1.2826995458922688,350.4812645723546,365.69373663308926,527.0790994061399,-0.6327302149498015,108.00452897214751,28.578142177167987,80.55874600382651,22.98517899440975,1.3462140631114585,0.6962447321689914
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,full_retrospective,elastic_net,Elastic Net,Full retrospective,206.22802403309592,164.99300577877838,257.1994042485983,0.6098779850593872,491.56462151692915,519.8617131946645,1260.1230454038805,-8.61576992297066,522.129902133934,607.7977004992887,1874.8248359369147,-19.657807940911717,285.3365974838332,58.04660974243982,315.9018781008381,60.50254482835664,9.225647908030048,20.267685925971104
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,full_retrospective,random_forest,Random Forest,Full retrospective,130.41499025259458,106.4711733537315,178.31356307934286,0.8128626540168693,281.44648327342486,293.3121005450092,375.93347644396005,0.16908753939279358,293.66057103896816,306.27878132685544,392.5203849020987,0.0945024669716622,151.03149302083028,53.66259733084083,163.24558078637358,55.589887402592844,0.6437751146240758,0.7183601870452071
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,full_retrospective,rbf_svr,RBF-SVR,Full retrospective,215.13133664114025,173.71815925172652,281.9606373055314,0.5327361740305877,296.06741470120505,300.618184968253,403.54433993202406,0.04253047165671111,292.20332575246573,290.90381780047016,392.41761893364037,0.09497654247548526,80.9360780600648,27.337043538461167,77.07198911132548,26.376150549571598,0.4902057023738766,0.43775963155510245
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,full_retrospective,ridge,Ridge regression,Full retrospective,211.88684824258016,165.3407625441281,258.00018672006263,0.6075838803480639,624.4619449083827,714.8066030062604,2166.3813355339175,-30.952194583626028,596.1795712258823,725.9489072737385,2379.0319974285103,-32.263152419271734,412.57509666580256,66.06889339370922,384.29272298330216,64.45922361833162,31.55977846397409,32.8707362996198
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,prospective_design,elastic_net,Elastic Net,Prospective design,252.622966695692,184.40730601456215,310.25239374287577,0.42556609313978166,428.54689502059335,371.22649666429476,680.708186395135,-2.244432022348179,384.9536221291221,342.504573120915,499.11817461752025,-0.464096181658737,175.92392832490134,41.05126658692686,132.33065543343008,34.37573978432223,2.6699981154879606,0.8896622747985187
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,prospective_design,random_forest,Random Forest,Prospective design,142.27775301538742,110.43554737703417,186.09923530822613,0.7961706522431387,291.13023491605173,292.3218530698411,380.4091742460684,0.1493077993724204,294.13783700801054,297.08697277664146,382.2738087561874,0.14116066570600094,148.85248190066432,51.129173149462254,151.86008399262312,51.62888445000952,0.6468628528707183,0.6550099865371377
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,prospective_design,rbf_svr,RBF-SVR,Prospective design,223.68025458505508,177.80935930611355,286.548492303214,0.5173934780574785,304.87672662120457,305.8663335959062,408.7231394627221,0.017711737555759076,305.6794460851513,301.0204679912859,403.78097048885144,0.04180360095056079,81.19647203614949,26.63255832480529,81.99919150009623,26.825222483965838,0.49968174050171943,0.4755898771069177
filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,prospective_design,ridge,Ridge regression,Prospective design,260.7916617619997,187.19537336357536,313.89604955743596,0.41394406513144305,449.2905155272168,395.58065525608725,702.6038043669113,-2.0881485651506564,419.041261821357,373.9970879182542,566.1353527513796,-0.8836637951486281,188.49885376521712,41.95478142778609,158.2496000593573,37.76468201998238,2.5020926302820996,1.2976078602800711
