dataset,dataset_label,raw_rows,exact_duplicate_rows_removed,primary_rows,publications,publication_size_minimum,publication_size_median,publication_size_mean,publication_size_maximum,publications_fewer_than_3_rows,publications_fewer_than_5_rows,target,target_minimum,target_q1,target_median,target_mean,target_q3,target_maximum,target_standard_deviation,target_micro_mean,target_macro_publication_mean
cell_viability,Cell viability,617,9,608,75,1,6.0,8.106666666666667,42,9,35,cell_viability_percent,3.9,70.07499999999999,84.95,79.69454769736842,92.92500000000001,100.0,17.004339844860215,79.69454769736842,82.29977695505275
filament_diameter,Filament diameter,339,53,286,54,1,4.0,5.296296296296297,30,14,35,filament_diameter_um,68.27,417.65,704.62,747.1799688811188,1015.67,2922.58,413.21793864371233,747.1799688811188,661.5851158436215
