outcome_key,outcome_label,unit,meta_primary_source_id,row_count,outcome_mean,outcome_median,outcome_minimum,outcome_maximum,outcome_standard_deviation,ordered_publication_rank,ordered_rank_fraction
cell_viability,Cell viability,%,doi:10.1002/adfm.201700798,4,87.5,90.0,80.0,90.0,4.999999999999999,45,0.6
cell_viability,Cell viability,%,doi:10.1088/1758-5090/ab2622,9,87.54444444444444,88.0,84.2,91.9,2.815186988066296,46,0.6133333333333333
cell_viability,Cell viability,%,doi:10.1088/1758-5090/7/4/045012,11,88.35454545454546,92.0,61.0,96.0,9.897612200562683,47,0.6266666666666667
cell_viability,Cell viability,%,doi:10.1038/s41598-018-26407-3,20,88.425,87.85,83.9,92.3,2.63276420676465,48,0.64
cell_viability,Cell viability,%,doi:10.1007/s10856-019-6258-2,3,88.46666666666665,87.6,84.8,93.0,4.168133075290827,49,0.6533333333333333
cell_viability,Cell viability,%,doi:10.1016/j.actbio.2020.07.016,6,88.61666666666667,87.95,85.0,92.8,3.080530257385355,50,0.6666666666666666
cell_viability,Cell viability,%,doi:10.1007/s13205-018-1341-9,3,88.85666666666667,88.88,85.35,92.34,3.495058416297695,51,0.68
cell_viability,Cell viability,%,doi:10.1002/adhm.201500677,7,90.0,92.0,76.0,96.0,7.000000000000002,52,0.6933333333333334
cell_viability,Cell viability,%,doi:10.1021/acsbiomaterials.9b00167,12,90.45833333333333,93.5,73.0,99.5,9.978290829535275,53,0.7066666666666667
cell_viability,Cell viability,%,doi:10.1002/term.1682,4,90.5,90.5,85.0,96.0,6.350852961085882,54,0.72
cell_viability,Cell viability,%,doi:10.3390/polym12102346,2,91.0,91.0,90.17,91.83,1.1737972567696664,55,0.7333333333333333
cell_viability,Cell viability,%,doi:10.1016/j.actbio.2014.09.023,4,92.05,92.65,86.7,96.2,4.456081986079997,56,0.7466666666666667
cell_viability,Cell viability,%,doi:10.1002/adma.201604983,15,92.08,92.6,86.3,96.9,4.1111694547554585,57,0.76
cell_viability,Cell viability,%,doi:10.1002/mabi.201600472,42,92.12452380952381,95.395,43.16,99.8,10.55083101625487,58,0.7733333333333333
cell_viability,Cell viability,%,doi:10.1088/1758-5090/aa7b1d,8,92.2125,92.15,89.3,95.0,2.0237429961054114,59,0.7866666666666666
cell_viability,Cell viability,%,doi:10.1016/j.jmbbm.2017.12.018,3,92.33333333333333,92.3,89.0,95.7,3.350124375800594,60,0.8
cell_viability,Cell viability,%,doi:10.1002/adhm.201901792,4,92.975,93.1,87.6,98.1,4.980210838910338,61,0.8133333333333334
cell_viability,Cell viability,%,doi:10.1016/j.actbio.2014.09.033,4,93.0,97.0,80.0,98.0,8.679477710861024,62,0.8266666666666667
cell_viability,Cell viability,%,doi:10.1088/0960-1317/22/8/085014,4,93.05,93.75,89.5,95.2,2.4664414311581266,63,0.84
cell_viability,Cell viability,%,doi:10.1016/j.mtbio.2020.100078,5,94.24,94.5,91.6,96.3,1.884940317357557,64,0.8533333333333334
cell_viability,Cell viability,%,doi:10.1088/1758-5090/aacd30,6,94.76666666666667,96.65,89.1,98.0,4.014307744389645,65,0.8666666666666667
cell_viability,Cell viability,%,doi:10.1088/1758-5090/ab38ef,1,95.0,95.0,95.0,95.0,,66,0.88
cell_viability,Cell viability,%,doi:10.1007/s00289-020-03421-y,1,95.25,95.25,95.25,95.25,,67,0.8933333333333333
cell_viability,Cell viability,%,doi:10.1021/acsami.7b04216,3,95.33333333333333,95.0,94.0,97.0,1.5275252316519463,68,0.9066666666666666
cell_viability,Cell viability,%,doi:10.1039/c3bm00012e,6,95.5,95.5,92.0,98.0,2.073644135332772,69,0.92
cell_viability,Cell viability,%,doi:10.1088/1758-5082/5/2/025004,3,96.16666666666667,95.8,95.1,97.6,1.2897028081435344,70,0.9333333333333333
cell_viability,Cell viability,%,doi:10.1016/j.addma.2020.101640,4,96.2,95.83500000000001,95.15,97.98,1.2400806425390258,71,0.9466666666666667
cell_viability,Cell viability,%,doi:10.1002/adma.201703443,13,96.76923076923077,96.3,95.4,98.1,0.9927945535915372,72,0.96
cell_viability,Cell viability,%,doi:10.1089/biores.2013.0031,4,97.0,96.5,96.0,99.0,1.4142135623730951,73,0.9733333333333334
cell_viability,Cell viability,%,doi:10.1115/1.4043960,2,98.03,98.03,97.5,98.56,0.7495331880577419,74,0.9866666666666667
cell_viability,Cell viability,%,doi:10.3390/ma13194237,3,98.27,98.33,97.62,98.86,0.6221736092120939,75,1.0
filament_diameter,Filament diameter,µm,ref:kosik koziol swieszkowski biofab 2019,6,145.945,127.00999999999999,96.66,233.45,55.16094116310925,1,0.018518518518518517
filament_diameter,Filament diameter,µm,ref:chen zhang appmatint 2019,3,152.96,152.96,152.96,152.96,0.0,2,0.037037037037037035
filament_diameter,Filament diameter,µm,ref:li xu 3biotech 2018,3,182.89666666666668,181.71,132.84,234.14,50.66042472515734,3,0.05555555555555555
filament_diameter,Filament diameter,µm,ref:idaszek swieszkowski biofab 2019,3,194.72166666666666,184.215,173.84,226.11,27.67364736230723,4,0.07407407407407407
filament_diameter,Filament diameter,µm,ref:colosi khademhosseini advmat 2016,9,258.22266666666667,222.53,211.32,349.78,52.99435030265018,5,0.09259259259259259
filament_diameter,Filament diameter,µm,ref:dai 2016,1,277.74,277.74,277.74,277.74,,6,0.1111111111111111
filament_diameter,Filament diameter,µm,ref:cidonio oreffo biofab 2019,1,297.22,297.22,297.22,297.22,,7,0.12962962962962962
filament_diameter,Filament diameter,µm,ref:ning chen biofab 2018,6,300.90333333333336,297.37,286.84,328.74,15.768303227255204,8,0.14814814814814814
filament_diameter,Filament diameter,µm,ref:soliman lim advhealthmat 2020,4,309.7,295.1,291.28,357.32,31.874592807856658,9,0.16666666666666666
filament_diameter,Filament diameter,µm,ref:chung wallace biomatsci 2013,3,321.13,321.13,321.13,321.13,0.0,10,0.18518518518518517
filament_diameter,Filament diameter,µm,ref:giuseppe 2018,3,343.3333333333333,350.0,310.0,370.0,30.550504633038926,11,0.2037037037037037
