dataset,target_key,target_label,unit,analysis_role,observation_count,publication_count,anova_icc,anova_icc_bootstrap_ci_lower,anova_icc_bootstrap_ci_upper,lmm_icc,anova_between_publication_variance,anova_within_publication_variance,lmm_between_publication_variance,lmm_residual_variance,anova_design_effect,lmm_design_effect
cell_viability,cell_viability,Cell viability,%,primary_outcome,608,75,0.4455672615189044,0.32209896077761446,0.5584171246980142,0.4045208141807492,130.1343335774093,161.93006346511893,109.47570775808437,161.15488508248106,4.166498005194348,3.874794586111191
filament_diameter,filament_diameter,Filament diameter,µm,secondary_engineering_outcome,286,54,0.7930807485686951,0.6637051845173967,0.9068085848842788,0.7877543393868361,138852.06590990216,36227.28907443466,134367.84183306774,36202.899722803035,4.407309882739579,4.384426050699
filament_diameter,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,derived_sensitivity_outcome,286,54,0.8490744761480179,0.70187084900838,0.9064716814184548,0.8694183778557344,0.9886496241337878,0.17573542324035804,1.1711978674457986,0.17590715963489134,4.647875527154447,4.735278956713525
