original_feature,publication_count,macro_publication_mean_absolute_shap,importance_bootstrap_ci_lower,importance_bootstrap_ci_upper,importance_rank,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,bootstrap_top_3_frequency,bootstrap_top_5_frequency,bootstrap_top_10_frequency,dataset,target_key,target_label,unit,feature_set,model_variant,model_display_name,task_count,task_feature_count,task_importance_mean,task_importance_sd,task_rank_mean,task_rank_median,task_rank_q1,task_rank_q3,task_top_3_frequency,task_top_5_frequency,task_top_10_frequency,rank_stability_category,primary_top_10
extrusion_pressure_kpa,75,1.4017967997464589,1.2111381955200917,1.614956990789672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,1.408854368675248,0.39994960928027856,1.88,1.0,1.0,3.0,0.8,1.0,1.0,High rank stability,True
final_nano_or_methylcellulose_concentration_pct_wv,75,0.9575837236150142,0.7608545327219106,1.221639793864776,2.0,2.0,2.0,5.0,0.9139,0.9934,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.958840042270357,0.5508704842536571,5.92,4.0,3.0,8.0,0.44,0.6,0.88,Moderate rank stability,True
extrusion_rate_volume_wise_ml_or_s,75,0.9308816637007381,0.6741226024098256,1.2544475968187,3.0,3.0,2.0,6.0,0.7665,0.9298,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.9225002161408423,0.605693602462612,7.32,4.0,2.0,10.0,0.4,0.72,0.76,Moderate rank stability,True
conical_or_straight_nozzle,75,0.7788921117862617,0.6689578214074768,0.890540817794547,4.0,4.0,3.0,7.0,0.1642,0.819,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.770141507250576,0.3896162542068013,7.72,4.0,3.0,13.0,0.44,0.52,0.72,Moderate rank stability,True
days_observed,75,0.7672664841598204,0.6749729805624397,0.8655649727529987,5.0,5.0,3.0,6.0,0.0803,0.8149,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.7675166159868091,0.13737910021692953,5.92,5.0,4.0,8.0,0.16,0.56,0.96,Moderate rank stability,True
extrusion_rate_lengthwise_mm_or_s,75,0.7157456213586707,0.5616122429050919,0.8903263373439474,6.0,6.0,3.0,9.0,0.0742,0.3827,0.9931,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.7169649872569417,0.25753668015197784,7.44,7.0,6.0,10.0,0.2,0.24,0.76,Low rank stability,True
final_alginate_conc_pctw_or_v,75,0.6507832038788622,0.5753724809399163,0.7300327331286425,7.0,7.0,5.0,9.0,0.0005,0.0446,0.9995,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.6526793273634643,0.15559180607280257,7.64,6.0,5.0,9.0,0.0,0.32,0.84,Low rank stability,True
syringe_temperature_degc,75,0.6038756245371263,0.5065213412232983,0.7151683518339814,8.0,8.0,6.0,11.0,0.0004,0.0148,0.9724,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.5984008849509673,0.22956949450145345,9.72,8.0,7.0,13.0,0.04,0.12,0.64,Low rank stability,True
physical_crosslinking_duration_s,75,0.5786084949642891,0.5127527521906684,0.6505824821475097,9.0,9.0,7.0,11.0,0.0,0.0006,0.9442,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.5799540933560499,0.174930414250707,9.2,9.0,7.0,11.0,0.12,0.16,0.72,Low rank stability,True
cell_density_cells_or_ml,75,0.554375032032149,0.477453093250719,0.638844236036066,10.0,10.0,7.0,12.0,0.0,0.0001,0.8405,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.5464878492951535,0.2851247538105501,10.92,11.0,6.0,14.0,0.12,0.16,0.44,Low rank stability,True
outer_nozzle_inner_diameter_um,54,143.38260164353727,129.02304172128783,157.6614617315909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,tuned_rf_reference,Tuned Random Forest,25,38,143.03225505166822,46.483852210787674,1.04,1.0,1.0,1.0,1.0,1.0,1.0,High rank stability,True
conical_or_straight_nozzle,54,40.069588052602064,31.41058276103667,50.131821478631274,2.0,2.0,2.0,3.0,0.995,0.9999,1.0,filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,tuned_rf_reference,Tuned Random Forest,25,38,40.12574043527212,26.7551574506381,6.44,3.0,2.0,6.0,0.6,0.72,0.84,Moderate rank stability,True
days_observed,54,28.787790673976424,24.995296770737532,33.205054510746045,3.0,4.0,3.0,5.0,0.3554,0.9776,1.0,filament_diameter,filament_diameter,Filament diameter,µm,prospective_design,tuned_rf_reference,Tuned Random Forest,25,38,29.05914997656573,12.16432479858189,4.56,4.0,3.0,5.0,0.32,0.76,1.0,Moderate rank stability,True
