dataset,target_key,feature_set,model_variant,model_display_name,task_id,original_feature,task_macro_publication_mean_absolute_shap,task_rank
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,extrusion_pressure_kpa,0.9756721519102933,64.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,extrusion_rate_lengthwise_mm_or_s,0.8046757446067802,120.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,extrusion_rate_volume_wise_ml_or_s,1.0392022955798594,55.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,final_alginate_conc_pctw_or_v,0.6799286389185021,171.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,final_nano_or_methylcellulose_concentration_pct_wv,0.5372839346493238,230.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,physical_crosslinking_duration_s,0.7638680908889669,128.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f04,syringe_temperature_degc,0.7078378156341374,153.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,cell_density_cells_or_ml,0.3977206847115927,319.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,conical_or_straight_nozzle,0.41828827697672527,305.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,days_observed,0.6707307657805622,175.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,extrusion_pressure_kpa,1.7682935077258137,9.0
cell_viability,cell_viability,prospective_design,tuned_rf_reference,Tuned Random Forest,step16__cell_viability__prospective_design__publication_grouped__r01__f05,extrusion_rate_lengthwise_mm_or_s,0.7285073975771807,143.0
