dataset,dataset_label,meta_primary_source_id,row_count
filament_diameter,Filament diameter,ref:duan butcher jbiomedmatres 2012,2
filament_diameter,Filament diameter,ref:duin 2019,2
filament_diameter,Filament diameter,ref:fedorovich dhe22 tissueeng 2008,5
filament_diameter,Filament diameter,ref:fisch zenobi wong biofab 2021,4
filament_diameter,Filament diameter,ref:gantumar sakai,2
filament_diameter,Filament diameter,ref:gao cho advfuncmat 2017,4
filament_diameter,Filament diameter,ref:gao ma biomat 2015,1
filament_diameter,Filament diameter,ref:giuseppe 2018,3
filament_diameter,Filament diameter,ref:idaszek swieszkowski biofab 2019,3
filament_diameter,Filament diameter,ref:jia khademhosseini biomat 2016,9
filament_diameter,Filament diameter,ref:kang jin small 2020,12
filament_diameter,Filament diameter,ref:kilian ahlfeld akkineni bioprint 2020,12
filament_diameter,Filament diameter,ref:kolan leu bioprintamer 2019,6
filament_diameter,Filament diameter,ref:kolesky lewis advmat 2014,4
filament_diameter,Filament diameter,ref:kosik koziol swieszkowski biofab 2019,6
filament_diameter,Filament diameter,ref:li fu scirep 2018,8
filament_diameter,Filament diameter,ref:li li acsapplmatinterf 2017,2
filament_diameter,Filament diameter,ref:li xu 3biotech 2018,3
filament_diameter,Filament diameter,ref:li zhou addman 2021,4
filament_diameter,Filament diameter,ref:lim levato advhealthmat 2020,4
filament_diameter,Filament diameter,ref:liu zhang advhealthmat 2017,3
filament_diameter,Filament diameter,ref:markstedt mantas biomacromol 2015,2
filament_diameter,Filament diameter,ref:mistry yang biomacromolj 2018,30
filament_diameter,Filament diameter,ref:moncal ozbolat jmatscimatmed 2019,1
filament_diameter,Filament diameter,ref:mondal singh scirep 2019,4
filament_diameter,Filament diameter,ref:ning chen biofab 2018,6
filament_diameter,Filament diameter,ref:ojansivu mustafa biofab 2019,6
filament_diameter,Filament diameter,ref:othman 2020,1
filament_diameter,Filament diameter,ref:ouyang 2015,3
filament_diameter,Filament diameter,ref:ouyang 2016,11
filament_diameter,Filament diameter,ref:ouyang burdick advmat 2017,10
filament_diameter,Filament diameter,ref:sakai nagasuna mattodbio 2020,1
filament_diameter,Filament diameter,ref:sanz garcia escobedo lucea polymers 2020,2
filament_diameter,Filament diameter,ref:shim cho jmicromechmicroeng 2012,4
filament_diameter,Filament diameter,ref:shin burdick actabiomat 2019,8
filament_diameter,Filament diameter,ref:soliman lim advhealthmat 2020,4
filament_diameter,Filament diameter,ref:soltan chen acsbiomat 2019,9
filament_diameter,Filament diameter,ref:tigner alge biomacromol 2020,12
filament_diameter,Filament diameter,ref:yang zhao matsciengc 2018,6
filament_diameter,Filament diameter,ref:yao 2019,1
filament_diameter,Filament diameter,ref:yin suo appmatint 2018,9
filament_diameter,Filament diameter,ref:yu ozbolat jbiomecheng 2013,18
filament_diameter,Filament diameter,ref:zhang ozbolat biomatsci 2015,3
filament_diameter,Filament diameter,ref:zhao 2014,4
