global_task_number,task_id,dataset,target_family,target_key,target_column,feature_set,validation_design,repeat,outer_fold,outer_split_id,task_elapsed_seconds,model_key,selected_candidate_id,selected_complexity_rank,inner_mean_publication_macro_mae,inner_mean_row_mae,inner_total_convergence_warnings,preprocessing_variant,outer_training_rows,outer_test_rows,outer_training_sources,outer_test_sources,outer_source_overlap,output_feature_count,outer_row_mae,outer_publication_macro_mae,outer_fit_seconds,outer_convergence_warning_count,selected_parameters_json
4,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f004,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,4,CV_publication_grouped_r01_f004,18.62336273999972,ridge,ridge_01,1,14.05849963925347,15.158409437761506,0,scaled,486,122,59,16,0,33,14.329054424421036,15.941619121180802,0.0018252820009365678,0,"{""alpha"": 100.0}"
4,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f004,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,4,CV_publication_grouped_r01_f004,18.62336273999972,elastic_net,elastic_net_03,3,13.192742132458838,13.991288023187371,0,scaled,486,122,59,16,0,33,13.907112123578397,14.685549105236884,0.00168688200028555,0,"{""alpha"": 1.0, ""l1_ratio"": 0.1}"
4,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f004,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,4,CV_publication_grouped_r01_f004,18.62336273999972,random_forest,random_forest_02,2,12.712760996352,13.105939919231918,0,unscaled,486,122,59,16,0,33,13.140893396633981,13.460743383199937,0.6157935809987976,0,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}"
4,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f004,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,4,CV_publication_grouped_r01_f004,18.62336273999972,rbf_svr,rbf_svr_03,3,11.692775124358736,13.068420563206253,0,scaled,486,122,59,16,0,33,12.267570788326223,11.887852425332774,0.028983712998524425,0,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale""}"
5,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f005,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,5,CV_publication_grouped_r01_f005,19.929232620999755,ridge,ridge_01,1,12.15404155110787,12.996237157679236,0,scaled,486,122,61,14,0,33,15.613029548978243,14.833821379366423,0.002793105000819196,0,"{""alpha"": 100.0}"
5,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f005,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,5,CV_publication_grouped_r01_f005,19.929232620999755,elastic_net,elastic_net_03,3,11.970189014246245,12.854491098287959,0,scaled,486,122,61,14,0,33,15.3808870052106,14.65623610814183,0.002433757999824593,0,"{""alpha"": 1.0, ""l1_ratio"": 0.1}"
5,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f005,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,5,CV_publication_grouped_r01_f005,19.929232620999755,random_forest,random_forest_06,6,11.037497777680585,11.854211691928002,0,unscaled,486,122,61,14,0,33,15.317332738923184,12.939526068360964,1.0435454949983978,0,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
5,cell_viability__raw_outcome__core_physics__publication_grouped__r01__f005,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,1,5,CV_publication_grouped_r01_f005,19.929232620999755,rbf_svr,rbf_svr_04,4,10.96878308634719,12.317032090323416,0,scaled,486,122,61,14,0,33,14.703579808188866,13.029137655602325,0.029747839998890413,0,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}"
6,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,1,CV_publication_grouped_r02_f001,19.0630715899988,ridge,ridge_01,1,13.998786951866729,14.54070352459909,0,scaled,486,122,59,16,0,33,16.721686213753387,16.356135005234606,0.001862623999841162,0,"{""alpha"": 100.0}"
6,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,1,CV_publication_grouped_r02_f001,19.0630715899988,elastic_net,elastic_net_03,3,12.989580709524814,13.368774292674557,0,scaled,486,122,59,16,0,33,16.172672123534674,15.209118059309466,0.0015433230000780895,0,"{""alpha"": 1.0, ""l1_ratio"": 0.1}"
6,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,1,CV_publication_grouped_r02_f001,19.0630715899988,random_forest,random_forest_02,2,12.90717625018253,13.393053831290157,0,unscaled,486,122,59,16,0,33,15.423822186870957,13.959960067449629,0.6040371620001679,0,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 300}"
6,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f001,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,1,CV_publication_grouped_r02_f001,19.0630715899988,rbf_svr,rbf_svr_02,2,11.816285814878011,12.815778595546519,0,scaled,486,122,59,16,0,33,14.240125566661165,12.037114594967305,0.016363245000320603,0,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.01}"
7,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,2,CV_publication_grouped_r02_f002,19.03488959400056,ridge,ridge_01,1,13.894895644113372,14.733437990886223,0,scaled,487,121,60,15,0,33,14.672422348469517,15.165627925212268,0.0016541120003239485,0,"{""alpha"": 100.0}"
7,cell_viability__raw_outcome__core_physics__publication_grouped__r02__f002,cell_viability,raw_outcome,cell_viability,cell_viability_percent,core_physics,publication_grouped,2,2,CV_publication_grouped_r02_f002,19.03488959400056,elastic_net,elastic_net_02,2,13.029269009502627,13.842801610379489,0,scaled,487,121,60,15,0,33,14.66750677081234,14.738550826983582,0.0016448180012957891,0,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
