scenario_key,scenario_label,source_column,feature_mode,validation_design,analysis_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1021/acsami.7b04216,5,3,18.645105804102354,18.765527321006207,-18.645105804102354
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1021/acsami.7b16059,5,12,10.419581383344946,11.745910794291358,0.5134928249689835
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1021/acsami.9b09782,5,6,7.359991514298642,8.856578582002731,1.9973346904601832
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1021/acsbiomaterials.9b00167,5,12,13.74029861366075,15.317508251864973,-12.419174984773193
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1038/s41598-017-17286-1,5,2,5.268807215417143,5.37948488038217,-5.268807215417143
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1038/s41598-018-26407-3,5,20,6.607114258461253,7.850823703838638,-6.597025067496662
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1038/s41598-019-55034-9,5,15,16.038669874279616,18.237462457262275,-0.8939470853090427
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1038/s41598-020-65050-9,5,18,24.759013512144737,27.410726539027802,24.759013512144737
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1038/srep29977,5,3,11.206246862767447,13.169571161820596,0.4220451645540745
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1039/c3bm00012e,5,6,20.014916364806574,20.23080822860505,-20.014916364806574
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1039/c4bm00234b,5,3,19.601040445381386,25.850328104701834,19.037560376370056
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/0960-1317/22/8/085014,5,4,7.997684230328194,8.132075301069793,-7.997684230328194
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5082/5/2/025004,5,3,12.162347741503256,13.231385955399157,-12.162347741503256
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5082/6/2/024105,5,9,6.683832105581783,8.133283048100587,0.515292042121869
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5082/6/3/035001,5,4,17.201234196871305,20.92108900988459,3.195319064241881
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/7/4/044101,5,3,27.708442143592453,30.456652197773234,-11.9913298256178
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/7/4/044102,5,10,8.590017595939376,10.125553614349426,1.2319638031009434
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/7/4/045012,5,11,7.381725029481703,9.957907981945484,-1.8475102672963721
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/8/3/035020,5,14,36.58187115339116,46.29589009089464,35.454050264214814
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/8/4/045001,5,4,8.39637207732729,9.117196160700184,3.109375137082599
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/8/4/045002,5,4,6.031467832107629,7.306329894060573,5.753492245768042
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/8/4/045005,5,1,8.37191221952476,8.37191221952476,-8.37191221952476
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/aa7b1d,5,8,9.31030146934496,9.734448630204476,-9.31030146934496
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,doi:10.1088/1758-5090/aacd30,5,6,15.417851440153186,15.756809863899173,-15.417851440153186
