scenario_key,scenario_label,source_column,feature_mode,validation_design,repeat,source_seen_fraction,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,0.0,608,75,13.267230679467826,17.37616473128088,0.4878966984746677,-0.045931364279266695,12.371821252830447
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,2,0.0,608,75,13.064274310916266,17.35694026914576,1.5334040314695851,-0.04361827101930871,12.23115932994074
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,3,0.0,608,75,13.61647271583145,17.761773208511688,1.173737150008285,-0.09286867255013087,12.642652894670277
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,4,0.0,608,75,12.609418164072428,16.817536428811614,1.0937509299928405,0.020239130638767477,11.7388861741692
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,5,0.0,608,75,13.2458194858929,17.597248326438013,1.4097552122718955,-0.07271625454581976,12.555647236203031
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,1,0.9950657894736842,608,75,8.160076603150301,12.268494841882829,-0.2348307790528393,0.4785917418434751,8.657763642483447
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,2,0.9950657894736842,608,75,8.245952150823157,12.542743758114764,-0.34164373200477105,0.4550201614622361,8.80636785529971
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,3,0.9917763157894737,608,75,8.333363243231442,12.547837494896205,-0.08132368364873685,0.45457742778609733,8.757929517799823
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,4,0.9917763157894737,608,75,8.217728962287966,12.205430508376022,-0.18979488690130172,0.4839384044238122,8.768819272937812
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,5,0.9950657894736842,608,75,8.320167198861197,12.340282977521412,-0.3365111769983454,0.47247193019420664,8.651876734876796
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,publication_grouped,1,0.0,150,34,13.999774297170394,20.403014398089436,2.1780490297989963,0.07516269652344876,12.235308200538592
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,publication_grouped,2,0.0,150,34,14.839300236932885,21.256354259073632,3.347388539379824,-0.003816258531298855,12.941641032115948
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,publication_grouped,3,0.0,150,34,14.770791184837679,20.90989248273907,2.447289784687567,0.028639886859699537,13.000982334628741
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,publication_grouped,4,0.0,150,34,13.834082361381498,20.24714528640419,1.995790283373872,0.08923933584242294,12.055343587300172
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,publication_grouped,5,0.0,150,34,13.442322463171482,20.013300518200563,1.9438771251079046,0.1101555415371187,11.865147905682749
