scenario_key,scenario_label,source_column,feature_mode,validation_design,repeat,analysis_source_id,source_rows,source_mae,source_mse,source_bias,source_rmse
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1016/j.mtbio.2020.100078,5,23.632833077888996,560.6338443299188,-23.632833077888996,23.677707750749835
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1021/acs.biomac.5b00188,2,7.5514312312687295,94.88150073080894,7.5514312312687295,9.740713563739
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1021/acs.biomac.9b01204,12,7.778909331761817,81.55046295754805,7.363005312220487,9.030529494860644
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1021/acsami.7b04216,3,20.48826970504318,439.3078697042226,-20.48826970504318,20.959672461759094
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1021/acsami.7b16059,12,10.282621288780636,131.77230263800737,0.1985006673342641,11.479211760308605
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1021/acsami.9b09782,6,7.0774456926406915,70.49544091245302,-4.9245018722943685,8.396156317771425
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1021/acsbiomaterials.9b00167,12,15.537731578657864,303.3818613935966,-15.537731578657864,17.41786041377059
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1038/s41598-017-17286-1,2,4.960536046916026,25.611924122753283,-4.960536046916026,5.0608224749296715
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1038/s41598-018-26407-3,20,7.322072160866876,72.99105542411522,-7.322072160866876,8.543480287571056
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,1,doi:10.1038/s41598-019-55034-9,15,15.61611350433636,339.68186070036506,0.01383321295563178,18.43046013262732
