outcome_key,validation_design,repeat_count,row_count,source_count,positive_count,negative_count,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,average_precision_mean,average_precision_sd,f1_mean,f1_sd,precision_mean,precision_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,brier_score_mean,brier_score_sd,log_loss_mean,log_loss_sd,source_seen_fraction_mean,source_seen_fraction_sd
cell_viability,publication_grouped,5,608,75,371,237,0.59867048801847,0.0195524095249268,0.6713387241689128,0.044566753380748,0.7344106838847072,0.0253289976844447,0.7618294089043293,0.0198997542949465,0.6680531283797391,0.0107645067350939,0.8867924528301886,0.0397973667391735,0.3105485232067509,0.028555146524369,0.662171052631579,0.0225094720751618,0.2167893366259281,0.0084019846949935,0.6243326543519476,0.0176734030687686,0.0,0.0
cell_viability,random_rowwise,5,608,75,371,237,0.7669248353747996,0.0090403085398113,0.8621538321562205,0.0052803230938528,0.905988942028802,0.0039218040918273,0.8102947909048741,0.0093186064862327,0.8266657814452498,0.0054468595176839,0.7946091644204852,0.0136644656125461,0.739240506329114,0.0069331969304451,0.7730263157894737,0.0099367154388113,0.1488495156803682,0.0029748549231859,0.4520664234936086,0.0081940107033873,0.9871710526315788,0.0042572957584028
filament_diameter,publication_grouped,5,286,54,71,215,0.4860858172289551,0.0065606053724638,0.6652341958729118,0.0347844514496511,0.3522102608375134,0.0511940977824539,0.0142191142191141,0.0206921594603003,0.0521008403361344,0.07189663743263,0.0084507042253521,0.0125975660704213,0.9637209302325582,0.0206440381592299,0.7265734265734265,0.0131758347422495,0.1821623207195149,0.0074034981673692,0.5483044209661914,0.0165781723805897,0.0,0.0
filament_diameter,random_rowwise,5,286,54,71,215,0.8847297739927941,0.0079979560858231,0.9596855551916148,0.0041455945974997,0.9260252538517472,0.0053291338938374,0.8335198545777398,0.0157624179142314,0.8515395853066654,0.0322954030924151,0.8169014084507044,0.0140845070422535,0.9525581395348836,0.0124803794093011,0.9188811188811188,0.0090504748989823,0.0583042632017384,0.0025312796429504,0.201788504652668,0.0068645569792957,0.9699300699300698,0.0058507694163222
