dataset,target_key,target_label,unit,feature_set,validation_design,model_variant,model_display_name,meta_primary_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias,source_seen_fraction
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.mtbio.2020.100078,5,5,9.678777362241489,9.854431168274415,-9.678777362241489,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acs.biomac.5b00188,5,2,8.660602175825774,9.998354929938836,-5.444474658158275,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acs.biomac.9b01204,5,12,10.420445305122273,11.643826579105134,10.13842030520406,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.7b04216,5,3,13.634803430625544,13.746240839328616,-13.634803430625544,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.7b16059,5,12,10.417447564568453,11.732547269106735,1.2949480211140192,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.9b09782,5,6,7.6696454276435855,8.857771908974641,-3.6394181609330998,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsbiomaterials.9b00167,5,12,15.646255630555803,17.509857149981617,-15.05246792046959,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-017-17286-1,5,2,2.700486247410005,2.864828582613108,-1.8008413083737893,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-018-26407-3,5,20,8.419196618039443,9.550397718930531,-8.419196618039443,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-019-55034-9,5,15,14.422891827660084,17.748301455016822,4.184337410771883,0.0
