global_task_number,task_id,dataset,target_key,target_label,unit,feature_set,validation_design,repeat,outer_fold,model_variant,model_display_name,method_key,outer_training_rows,outer_test_rows,outer_training_publications,outer_test_publications,source_overlap_count,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.529349485778797,15.076906929561584,-2.340792260936221,-0.0583250492314357,12.467163132117,0.0,0,0.2693709618916967,-14.597599825347244,0.0,163.9867411188943,0.0,0.0,0.0,0.0,0.0
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.442107551690544,15.037439953394276,-2.071421299044525,-0.0527915243165688,12.318747668763985,0.0,0,0.2693709618916967,-14.597599825347244,0.0,163.9867411188943,0.0,0.0,0.0,0.0,0.0
4,cell_viability__prospective_design__publication_grouped__r01__f04,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,4,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,12.442107551690544,15.037439953394276,-2.071421299044525,-0.0527915243165688,12.318747668763985,0.0,0,0.2693709618916967,-14.597599825347244,0.0,163.9867411188943,0.0,0.0,0.0,0.0,0.0
5,cell_viability__prospective_design__publication_grouped__r01__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,5,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,14.77587043946338,21.39747498894636,0.2006607110770096,-0.0098833844715284,12.280381332940422,0.0,0,0.0545999475887962,-8.254021191987185,0.0,115.4753147704696,0.0,0.0,0.0,0.0,0.0
5,cell_viability__prospective_design__publication_grouped__r01__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,5,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,15.663361029087357,21.76867222532889,-0.8701784469664702,-0.0452256343982377,12.71268552949874,0.0,0,0.0545999475887962,-8.254021191987185,0.0,115.4753147704696,0.0,0.0,0.0,0.0,0.0
5,cell_viability__prospective_design__publication_grouped__r01__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,5,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,15.643669244711065,21.766558024016746,-0.815578499377672,-0.0450226169542047,12.700242684299932,0.0,0,0.0545999475887962,-8.254021191987185,0.0,115.4753147704696,0.0,0.0,0.0,0.0,0.0
5,cell_viability__prospective_design__publication_grouped__r01__f05,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,5,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,61,14,0,122,14,15.643669244711065,21.766558024016746,-0.815578499377672,-0.0450226169542047,12.700242684299932,0.0,0,0.0545999475887962,-8.254021191987185,0.0,115.4753147704696,0.0,0.0,0.0,0.0,0.0
6,cell_viability__prospective_design__publication_grouped__r02__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,1,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,16.096302015568913,19.99999412162692,-0.1430156477412117,-0.1880361728889528,14.985928730352995,0.0,0,0.0805470592515364,-12.019476205734286,0.0,134.19661839261028,0.0,0.0,0.0,0.0,0.0
6,cell_viability__prospective_design__publication_grouped__r02__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,1,matched_fixed_rf,Matched fixed Random Forest,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,15.972989451162146,20.11292233475609,0.4890869819555983,-0.201490333982016,14.445935992570094,0.0,0,0.0805470592515364,-12.019476205734286,0.0,134.19661839261028,0.0,0.0,0.0,0.0,0.0
6,cell_viability__prospective_design__publication_grouped__r02__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,1,random_intercept_rf_marginal,Marginal random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,15.946580579276397,20.115042175171144,0.5696340412071409,-0.201743614131681,14.405815014192903,0.0,0,0.0805470592515364,-12.019476205734286,0.0,134.19661839261028,0.0,0.0,0.0,0.0,0.0
6,cell_viability__prospective_design__publication_grouped__r02__f01,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,1,random_intercept_rf_conditional,Conditional random-intercept RF,oob_residual_empirical_bayes_random_intercept_rf,486,122,59,16,0,122,16,15.946580579276397,20.115042175171144,0.5696340412071409,-0.201743614131681,14.405815014192903,0.0,0,0.0805470592515364,-12.019476205734286,0.0,134.19661839261028,0.0,0.0,0.0,0.0,0.0
7,cell_viability__prospective_design__publication_grouped__r02__f02,cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,2,tuned_rf_reference,Tuned Random Forest,oob_residual_empirical_bayes_random_intercept_rf,487,121,60,15,0,121,15,13.660445094679597,17.30815825615965,3.0475747381031777,-0.0013472680991701,13.571576512118174,0.0,0,0.0980849534249842,-14.007405899754874,0.0,149.461655674431,0.0,0.0,0.0,0.0,0.0
