dataset,target_key,target_label,unit,feature_set,validation_design,repeat,model_variant,model_display_name,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,3,matched_fixed_rf,Matched fixed Random Forest,608,75,8.16300674823753,12.118584926451687,-0.21148446731390394,0.4912561673565716,8.340088786028492,0.9736842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,3,random_intercept_rf_conditional,Conditional random-intercept RF,608,75,8.122877386355334,12.107979054658838,0.050115805537067556,0.4921462565577427,8.275269440376546,0.9736842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,3,random_intercept_rf_marginal,Marginal random-intercept RF,608,75,8.122877386355334,12.107979054658838,0.050115805537067556,0.4921462565577427,8.275269440376546,0.9736842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,3,tuned_rf_reference,Tuned Random Forest,608,75,7.763241395208665,11.93032965672905,-0.009476070530511424,0.5069394856961171,8.025129393670245,0.9736842105263158
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,4,matched_fixed_rf,Matched fixed Random Forest,608,75,8.143807665717986,11.995848496724198,-0.2740840875567651,0.5015090475938604,8.427178440556533,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,4,random_intercept_rf_conditional,Conditional random-intercept RF,608,75,8.113386120626485,11.993145112355233,-0.03770304894504252,0.5017337021149946,8.373314991856162,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,4,random_intercept_rf_marginal,Marginal random-intercept RF,608,75,8.113386120626485,11.993145112355233,-0.03770304894504252,0.5017337021149946,8.373314991856162,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,4,tuned_rf_reference,Tuned Random Forest,608,75,7.776803550009263,11.74743195636758,-0.189437146923358,0.5219413151785471,8.093647391681873,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,5,matched_fixed_rf,Matched fixed Random Forest,608,75,7.8039787693625815,11.385880669102754,-0.08044014872831963,0.5509149562092219,7.883859540022883,0.9884868421052632
cell_viability,cell_viability,Cell viability,%,prospective_design,random_rowwise,5,random_intercept_rf_conditional,Conditional random-intercept RF,608,75,7.768679527708628,11.388151975744574,0.1804690041391248,0.5507357673330299,7.828311938077645,0.9884868421052632
