outcome_key,row_count,positive_count,negative_count,random_balanced_accuracy,grouped_balanced_accuracy,random_minus_grouped_balanced_accuracy,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_p_value_two_sided,publication_count,bootstrap_replicates,bootstrap_attempts,adjusted_p_value_holm,same_direction_as_continuous_primary,interpretation
cell_viability,608,371,237,0.7617910311963334,0.6226017036860123,0.1391893275103211,0.04832244216747472,0.21824056127586608,0.0024,75,10000,10000,0.0048,True,Random row-wise validation produced higher balanced accuracy than publication-grouped validation.
filament_diameter,286,71,215,0.8945627251883393,0.4930232558139535,0.40153946937438584,0.14387557675993679,0.46871768955461296,0.0062,54,10000,10000,0.0062,True,Random row-wise validation produced higher balanced accuracy than publication-grouped validation.
