outcome_key,validation_design,meta_primary_source_id,row_count,positive_count,negative_count,accuracy,mean_absolute_probability_error,brier_score,roc_auc
cell_viability,publication_grouped,doi:10.1039/c4bm00234b,3,1,2,0.6666666666666666,0.4806345289793552,0.2358086103579782,0.5
cell_viability,publication_grouped,doi:10.1088/0960-1317/22/8/085014,4,4,0,1.0,0.2441595794714645,0.06013080212641357,
cell_viability,publication_grouped,doi:10.1088/1758-5082/5/2/025004,3,3,0,1.0,0.37477958033754843,0.14219174382102487,
cell_viability,publication_grouped,doi:10.1088/1758-5082/6/2/024105,9,7,2,0.7777777777777778,0.4060968892093995,0.18341577002179954,0.6428571428571428
cell_viability,publication_grouped,doi:10.1088/1758-5082/6/3/035001,4,2,2,0.5,0.5237753359814797,0.2915458986362358,0.0
cell_viability,publication_grouped,doi:10.1088/1758-5090/7/4/044101,3,2,1,0.6666666666666666,0.486140677200829,0.26694525910191924,0.0
cell_viability,publication_grouped,doi:10.1088/1758-5090/7/4/044102,10,3,7,0.7,0.45844484842446354,0.21438394009613973,0.7857142857142857
cell_viability,publication_grouped,doi:10.1088/1758-5090/7/4/045012,11,10,1,0.9090909090909091,0.33348392717452063,0.12746462993268645,0.0
cell_viability,publication_grouped,doi:10.1088/1758-5090/8/3/035020,14,4,10,0.2857142857142857,0.5940829037503296,0.3937290052197516,0.5625
cell_viability,publication_grouped,doi:10.1088/1758-5090/8/4/045001,4,2,2,0.5,0.4986964160943057,0.25212407073073845,0.5
cell_viability,publication_grouped,doi:10.1088/1758-5090/8/4/045002,4,0,4,0.0,0.6681051331515819,0.44774708628647353,
cell_viability,publication_grouped,doi:10.1088/1758-5090/8/4/045005,1,1,0,1.0,0.34234593808707936,0.11720074132472237,
cell_viability,publication_grouped,doi:10.1088/1758-5090/aa7b1d,8,8,0,1.0,0.3272960076643988,0.10819605588525168,
cell_viability,publication_grouped,doi:10.1088/1758-5090/aacd30,6,6,0,1.0,0.3361387033773678,0.11349301075546181,
cell_viability,publication_grouped,doi:10.1088/1758-5090/ab0692,4,2,2,0.5,0.5,0.28113329382256164,0.5
cell_viability,publication_grouped,doi:10.1088/1758-5090/ab15cb,6,4,2,0.6666666666666666,0.48014153322658815,0.23126152381932816,1.0
cell_viability,publication_grouped,doi:10.1088/1758-5090/ab19fd,8,5,3,0.625,0.4195128417840152,0.26659383962290223,0.5666666666666668
cell_viability,publication_grouped,doi:10.1088/1758-5090/ab2622,9,9,0,1.0,0.3650452064639133,0.1337755132571625,
cell_viability,publication_grouped,doi:10.1088/1758-5090/ab38ef,1,1,0,1.0,0.3430168476817764,0.11766055779354301,
cell_viability,publication_grouped,doi:10.1088/1758-5090/ab7553,4,0,4,1.0,0.34365794694609797,0.11812411240409873,
cell_viability,publication_grouped,doi:10.1088/1758-5090/abc39b,14,2,12,0.8571428571428571,0.4719193133272951,0.22370164572047221,0.7708333333333334
cell_viability,publication_grouped,doi:10.1089/biores.2013.0031,4,4,0,1.0,0.431157251604505,0.18686221401812295,
cell_viability,publication_grouped,doi:10.1089/ten.a.2007.0004,21,2,19,0.6190476190476191,0.47164128986799525,0.228207277008418,0.6578947368421053
cell_viability,publication_grouped,doi:10.1089/ten.a.2007.0158,9,5,4,0.5555555555555556,0.48888928349053706,0.2523404187993071,0.6499999999999999
cell_viability,publication_grouped,doi:10.1089/ten.tec.2007.0392,6,5,1,0.16666666666666666,0.5652216308162377,0.32647573559572174,0.8
cell_viability,publication_grouped,doi:10.1089/ten.tec.2015.0307,10,7,3,0.5,0.49763699393707156,0.24883294608222042,0.5952380952380953
cell_viability,publication_grouped,doi:10.1115/1.3128729,4,2,2,0.5,0.528010727434675,0.29445415053903273,0.0
cell_viability,publication_grouped,doi:10.1115/1.4024575,30,9,21,0.3,0.5345432026761122,0.29342889033863917,0.5343915343915344
cell_viability,publication_grouped,doi:10.1115/1.4043960,2,2,0,1.0,0.2516584172089533,0.06333474121337623,
