dataset,dataset_code,target_key,target_family,target_column,target_label,unit,baseline,baseline_display_name,validation_design,repeat,outer_fold,outer_split_id,training_rows,test_rows,training_sources,test_sources,overlapping_sources,test_source_seen_fraction,fallback_test_rows,training_global_value,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,7,CV_leave_one_publication_out_r01_f007,598,10,74,1,0,0.0,0,85.0,10.35,8.5,12.270900537450379,10.35,-2.465278177320062,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,7,CV_leave_one_publication_out_r01_f007,598,10,74,1,0,0.0,10,79.77890468227426,6.061561872909704,3.278904682274259,8.352135250332983,5.128904682274259,-0.6053889474680354,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,8,CV_leave_one_publication_out_r01_f008,599,9,74,1,0,0.0,0,79.96959098497497,19.94977276943054,5.969590984974971,27.35680151532576,18.580702096086082,-0.8563579141488527,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,8,CV_leave_one_publication_out_r01_f008,599,9,74,1,0,0.0,0,85.0,23.61111111111111,11.0,30.994139230936334,23.61111111111111,-1.3828145000569583,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,8,CV_leave_one_publication_out_r01_f008,599,9,74,1,0,0.0,9,79.96959098497497,19.94977276943054,5.969590984974971,27.35680151532576,18.580702096086082,-0.8563579141488527,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,9,CV_leave_one_publication_out_r01_f009,593,15,74,1,0,0.0,0,79.38125632377741,12.69874367622259,13.218743676222587,13.305375766498916,-12.69874367622259,-10.222426145767324,-3.5779678443206295e-15,0.014610344610958668,1.15978751054123
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,9,CV_leave_one_publication_out_r01_f009,593,15,74,1,0,0.0,0,84.6,7.480000000000004,8.0,8.469081020590924,-7.480000000000004,-3.5467915342484293,3.5779678443206295e-15,0.012863640935659448,1.0882640231567893
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,9,CV_leave_one_publication_out_r01_f009,593,15,74,1,0,0.0,15,79.38125632377741,12.69874367622259,13.218743676222587,13.305375766498916,-12.69874367622259,-10.222426145767324,-3.5779678443206295e-15,0.014610344610958668,1.15978751054123
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,10,CV_leave_one_publication_out_r01_f010,595,13,74,1,0,0.0,0,79.32148739495798,17.447743374272783,16.978512605042013,17.47379670648846,-17.447743374272783,-334.59686235956906,5.7301833529040476e-15,0.015377529588773042,1.219768519441455
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,10,CV_leave_one_publication_out_r01_f010,595,13,74,1,0,0.0,0,84.6,12.169230769230772,11.700000000000003,12.206555615733707,-12.169230769230772,-162.76821019771162,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,10,CV_leave_one_publication_out_r01_f010,595,13,74,1,0,0.0,13,79.32148739495798,17.447743374272783,16.978512605042013,17.47379670648846,-17.447743374272783,-334.59686235956906,5.7301833529040476e-15,0.015377529588773042,1.219768519441455
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,11,CV_leave_one_publication_out_r01_f011,596,12,74,1,0,0.0,0,79.93168624161073,14.071947706935125,11.431686241610734,18.36946064192354,12.015019574944068,-0.747686945136339,-3.409057770591895e-16,0.010628462474752255,0.8495509277626307
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,11,CV_leave_one_publication_out_r01_f011,596,12,74,1,0,0.0,0,85.0,17.083333333333332,16.5,22.020823478395776,17.083333333333332,-1.5115275330000362,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,11,CV_leave_one_publication_out_r01_f011,596,12,74,1,0,0.0,12,79.93168624161073,14.071947706935125,11.431686241610734,18.36946064192354,12.015019574944068,-0.747686945136339,-3.409057770591895e-16,0.010628462474752255,0.8495509277626307
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,12,CV_leave_one_publication_out_r01_f012,606,2,74,1,0,0.0,0,79.68363861386139,3.3163613861386096,3.3163613861386096,3.682153288969809,-3.3163613861386096,-4.296192516980968,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,12,CV_leave_one_publication_out_r01_f012,606,2,74,1,0,0.0,0,85.0,2.0,2.0,2.5612496949731356,2.0,-1.5625000000000107,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,12,CV_leave_one_publication_out_r01_f012,606,2,74,1,0,0.0,2,79.68363861386139,3.3163613861386096,3.3163613861386096,3.682153288969809,-3.3163613861386096,-4.296192516980968,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,13,CV_leave_one_publication_out_r01_f013,604,4,74,1,0,0.0,0,79.79898178807946,23.77449089403973,17.749999999999996,31.32962133202823,15.87398178807946,-0.34538989281516175,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_median,Global training median,leave_one_publication_out,1,13,CV_leave_one_publication_out_r01_f013,604,4,74,1,0,0.0,0,85.0,26.375,17.749999999999996,34.259560709384466,21.075000000000003,-0.6087977459074327,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,source_training_mean_with_global_fallback,Source training mean with global fallback,leave_one_publication_out,1,13,CV_leave_one_publication_out_r01_f013,604,4,74,1,0,0.0,4,79.79898178807946,23.77449089403973,17.749999999999996,31.32962133202823,15.87398178807946,-0.34538989281516175,,,
cell_viability,CV,cell_viability,raw_outcome,cell_viability_percent,Cell viability,%,global_training_mean,Global training mean,leave_one_publication_out,1,14,CV_leave_one_publication_out_r01_f014,566,42,74,1,0,0.0,0,78.77218197879859,15.745986875315499,17.407818021201415,16.93973407321114,-13.352341830725223,-1.6406161529587187,,,
