dataset,target_family,target_key,feature_set,validation_design,model_key,model_display_name,outer_split_count,unique_selected_candidates,dominant_candidate_id,dominant_parameters_json,dominant_selection_count,dominant_selection_fraction,selection_entropy,candidate_space_size,normalized_selection_entropy
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,rbf_svr,RBF-SVR,25,2,rbf_svr_09,"{""C"": 100.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",20,0.8,0.5004024235381879,12,0.2013767493361892
cell_viability,raw_outcome,cell_viability,full_retrospective,random_rowwise,ridge,Ridge regression,25,5,ridge_02,"{""alpha"": 10.0}",8,0.32,1.343178396457618,5,0.8345636610648784
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,elastic_net,Elastic Net,75,4,elastic_net_03,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",28,0.37333333333333335,1.1497820843744524,9,0.5232883776351973
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,random_forest,Random Forest,75,3,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",73,0.9733333333333334,0.14144092415187637,6,0.07893968279839116
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,rbf_svr,RBF-SVR,75,3,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",45,0.6,0.7314695654126819,12,0.2943650078263854
cell_viability,raw_outcome,cell_viability,prospective_design,leave_one_publication_out,ridge,Ridge regression,75,4,ridge_01,"{""alpha"": 100.0}",72,0.96,0.21188863928089738,5,0.13165381382152158
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,elastic_net,Elastic Net,25,3,elastic_net_01,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",11,0.44,1.020960769860117,9,0.4646592707869067
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,random_forest,Random Forest,25,3,random_forest_06,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",23,0.92,0.33422114621338295,6,0.18653237331982717
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,rbf_svr,RBF-SVR,25,3,rbf_svr_04,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": 0.01}",15,0.6,0.8731726364245316,12,0.3513905186333765
cell_viability,raw_outcome,cell_viability,prospective_design,publication_grouped,ridge,Ridge regression,25,2,ridge_01,"{""alpha"": 100.0}",23,0.92,0.2787693717685874,5,0.17320914936505935
