global_task_number,task_id,dataset,target_key,validation_design,repeat,outer_fold,oob_nonfinite_count,residual_fixed_intercept,between_source_variance_raw,between_source_variance,residual_variance,residual_random_intercept_icc,effective_group_size,minimum_shrinkage,mean_shrinkage,maximum_shrinkage,weighted_random_effect_mean,training_group_count,training_observation_count,task_elapsed_seconds
25,cell_viability__prospective_design__publication_grouped__r05__f05,cell_viability,cell_viability,publication_grouped,5,5,0,0.07746010953729436,-14.60612747553813,0.0,145.8001615760228,0.0,7.98918881216433,0.0,0.0,0.0,0.0,60,486,2.963602551004442
26,cell_viability__prospective_design__random_rowwise__r01__f01,cell_viability,cell_viability,random_rowwise,1,1,0,0.39235084611871446,-17.88779201068986,0.0,166.87316482805068,0.0,6.3987320653987325,0.0,0.0,0.0,0.0,75,486,2.0198630100057926
27,cell_viability__prospective_design__random_rowwise__r01__f02,cell_viability,cell_viability,random_rowwise,1,2,0,0.24981051580254093,-12.989305600226507,0.0,146.1836311551365,0.0,6.49191047973392,0.0,0.0,0.0,0.0,74,486,1.759086741003557
28,cell_viability__prospective_design__random_rowwise__r01__f03,cell_viability,cell_viability,random_rowwise,1,3,0,0.1967986973940469,-16.783453580411173,0.0,155.25433700141724,0.0,6.415304193081971,0.0,0.0,0.0,0.0,75,486,1.9695749950042227
29,cell_viability__prospective_design__random_rowwise__r01__f04,cell_viability,cell_viability,random_rowwise,1,4,0,0.11789132882834738,-15.750071523681758,0.0,157.08469382388054,0.0,6.69283049425919,0.0,0.0,0.0,0.0,72,487,1.9294159530036268
30,cell_viability__prospective_design__random_rowwise__r01__f05,cell_viability,cell_viability,random_rowwise,1,5,0,0.23367129422781202,-16.543038244583002,0.0,170.6366103284746,0.0,6.51064667660544,0.0,0.0,0.0,0.0,74,487,3.486270738001622
31,cell_viability__prospective_design__random_rowwise__r02__f01,cell_viability,cell_viability,random_rowwise,2,1,0,0.29709502741738353,-17.66308940064443,0.0,170.8352884710993,0.0,6.414191969747526,0.0,0.0,0.0,0.0,75,486,3.7270581139964634
32,cell_viability__prospective_design__random_rowwise__r02__f02,cell_viability,cell_viability,random_rowwise,2,2,0,0.45242109811094317,-12.269240991569665,0.0,145.51255190816423,0.0,6.487626134505891,0.0,0.0,0.0,0.0,74,486,1.7455405549990246
33,cell_viability__prospective_design__random_rowwise__r02__f03,cell_viability,cell_viability,random_rowwise,2,3,0,0.25823343179427505,-13.884359190812038,0.0,155.28025319466013,0.0,6.4924742093691865,0.0,0.0,0.0,0.0,74,486,1.790361633997236
34,cell_viability__prospective_design__random_rowwise__r02__f04,cell_viability,cell_viability,random_rowwise,2,4,0,0.20044446652139664,-16.02303185843747,0.0,164.58818939776523,0.0,6.594512890714123,0.0,0.0,0.0,0.0,73,487,1.9861459079984343
35,cell_viability__prospective_design__random_rowwise__r02__f05,cell_viability,cell_viability,random_rowwise,2,5,0,0.3068775271125664,-18.36690082621846,0.0,166.80869236137778,0.0,6.427049225817193,0.0,0.0,0.0,0.0,75,487,1.9502905769986683
36,cell_viability__prospective_design__random_rowwise__r03__f01,cell_viability,cell_viability,random_rowwise,3,1,0,0.3805735630479283,-16.581292381475425,0.0,169.84849915032302,0.0,6.493827160493827,0.0,0.0,0.0,0.0,74,486,3.62946006799757
37,cell_viability__prospective_design__random_rowwise__r03__f02,cell_viability,cell_viability,random_rowwise,3,2,0,0.148360791213062,-15.78607645502462,0.0,150.09967983102308,0.0,6.491515868989233,0.0,0.0,0.0,0.0,74,486,3.1219627739992575
38,cell_viability__prospective_design__random_rowwise__r03__f03,cell_viability,cell_viability,random_rowwise,3,3,0,0.2014394675906082,-12.955730764260334,0.0,144.7795516073385,0.0,6.493488922712667,0.0,0.0,0.0,0.0,74,486,1.8776345959995524
39,cell_viability__prospective_design__random_rowwise__r03__f04,cell_viability,cell_viability,random_rowwise,3,4,0,0.21609113772009927,-15.087559394028151,0.0,151.32720867905005,0.0,6.517678827599786,0.0,0.0,0.0,0.0,74,487,1.9292837489992962
40,cell_viability__prospective_design__random_rowwise__r03__f05,cell_viability,cell_viability,random_rowwise,3,5,0,0.36198621457324587,-17.75330788065073,0.0,177.53620740535857,0.0,6.88265928637324,0.0,0.0,0.0,0.0,70,487,1.7433747600007337
41,cell_viability__prospective_design__random_rowwise__r04__f01,cell_viability,cell_viability,random_rowwise,4,1,0,0.2671001051340536,-8.345544545953437,0.0,136.451400109974,0.0,6.485483961891877,0.0,0.0,0.0,0.0,74,486,1.979979692005145
42,cell_viability__prospective_design__random_rowwise__r04__f02,cell_viability,cell_viability,random_rowwise,4,2,0,0.2819772401612639,-15.723096865954636,0.0,157.74488127587787,0.0,6.502677715767518,0.0,0.0,0.0,0.0,74,486,3.5092717579973396
