comparison_id,contrast_key,dataset,target_family,target_key,target_column,target_label,unit,model_key,model_display_name,focal_feature_set,focal_feature_set_display_name,comparator_feature_set,comparator_feature_set_display_name,n_paired_publications,focal_mean,comparator_mean,mean_difference_focal_minus_comparator,median_difference_focal_minus_comparator,difference_sd,paired_standardized_effect_dz,bootstrap_ci_lower,bootstrap_ci_upper,permutation_p_value,wilcoxon_p_value,probability_publication_favors_claim,claim_aligned_difference,claim_aligned_relative_effect_percent,favorable_mean_direction,favorable_ci_excludes_zero,favorable_direction,adjusted_p_value_bh
filament_to_nozzle_ratio__rbf_svr__full_vs_prospective,full_vs_prospective,filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,prospective_design,Prospective design,54,0.7855763247064531,0.8276838731240738,-0.04210754841762045,-0.05055768257150606,0.11787380767845941,-0.3572256572255899,-0.07312002718759728,-0.010617212200398931,0.011049447527623619,0.015728033452743335,0.6296296296296297,0.04210754841762045,5.087395053220825,True,True,negative,0.08839558022098896
filament_to_nozzle_ratio__rbf_svr__prospective_vs_core,prospective_vs_core,filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,rbf_svr,RBF-SVR,prospective_design,Prospective design,core_physics,Core physics,54,0.8276838731240738,0.8456423820234487,-0.017958508899375114,0.007494147939230991,0.20375159898129888,-0.08813922928292414,-0.07118970378123828,0.03525363696269468,0.5213739313034348,0.6762428341856406,0.4444444444444444,0.017958508899375114,2.123652891711017,True,False,negative,0.8937838822344596
filament_to_nozzle_ratio__ridge__full_vs_prospective,full_vs_prospective,filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,ridge,Ridge regression,full_retrospective,Full retrospective,prospective_design,Prospective design,54,2.1610291914868363,1.5782006140919884,0.5828285773948477,-0.05019250542586409,5.118716183003854,0.11386225697179056,-0.23184000234584237,2.0437467232264606,0.9023548822558872,0.06991655589691712,0.6481481481481481,-0.5828285773948477,-36.929942378090885,False,False,negative,1.0
filament_to_nozzle_ratio__ridge__prospective_vs_core,prospective_vs_core,filament_diameter,filament_to_nozzle_ratio,filament_to_nozzle_ratio,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,ridge,Ridge regression,prospective_design,Prospective design,core_physics,Core physics,54,1.5782006140919884,1.1355675246705135,0.44263308942147495,0.008485988996594501,2.764870755597176,0.16009178314227276,-0.0320412212150203,1.257265465317302,0.1950902454877256,0.32844057786299796,0.48148148148148145,-0.44263308942147495,-38.97901972407194,False,False,negative,0.520240654633935
filament_diameter__elastic_net__full_vs_prospective,full_vs_prospective,filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,elastic_net,Elastic Net,full_retrospective,Full retrospective,prospective_design,Prospective design,54,491.5646215169291,428.54689502059335,63.01772649633581,-10.435424526911959,779.3993353465678,0.08085422149906549,-76.51713035790159,293.5868800361653,0.9893005349732513,0.07827402406937486,0.5925925925925926,-63.01772649633581,-14.704977968235541,False,False,negative,1.0
filament_diameter__elastic_net__prospective_vs_core,prospective_vs_core,filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,elastic_net,Elastic Net,prospective_design,Prospective design,core_physics,Core physics,54,428.54689502059335,373.6387009362644,54.90819408432896,5.848029176113656,518.4010059170355,0.10591837874079363,-52.95207195975776,213.2622080920684,0.575621218939053,0.4936517056867479,0.4074074074074074,-54.90819408432896,-14.695531792274172,False,False,negative,0.9209939503024849
filament_diameter__random_forest__full_vs_prospective,full_vs_prospective,filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,random_forest,Random Forest,full_retrospective,Full retrospective,prospective_design,Prospective design,54,281.4464832734248,291.13023491605173,-9.683751642626932,-5.527948972607021,51.18766584224624,-0.1891813483441695,-23.167534210700005,4.078328427160024,0.17164141792910353,0.17234121185037443,0.5555555555555556,9.683751642626932,3.326261061623939,True,False,negative,0.5149242537873107
filament_diameter__random_forest__prospective_vs_core,prospective_vs_core,filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,random_forest,Random Forest,prospective_design,Prospective design,core_physics,Core physics,54,291.13023491605173,287.243125708881,3.887109207170682,4.208389979809738,78.15705690360699,0.04973459033858899,-18.078952196186194,23.273001097283185,0.743612819359032,0.27229061091712914,0.42592592592592593,-3.887109207170682,-1.3532470786125261,False,False,negative,1.0
filament_diameter__rbf_svr__full_vs_prospective,full_vs_prospective,filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,prospective_design,Prospective design,54,296.067414701205,304.87672662120457,-8.809311919999564,-7.879381527729947,22.300635995639944,-0.3950251428578941,-14.702337877045286,-2.8483713259763634,0.004999750012499375,0.005205794477967359,0.6111111111111112,8.809311919999564,2.8894668404599937,True,True,negative,0.06659667016649168
filament_diameter__rbf_svr__prospective_vs_core,prospective_vs_core,filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,rbf_svr,RBF-SVR,prospective_design,Prospective design,core_physics,Core physics,54,304.87672662120457,282.05316042938006,22.823566191824494,11.438621766237617,63.71076690484644,0.3582371913041329,7.291592100450422,41.05767560562978,0.005549722513874306,0.026614131803445313,0.4444444444444444,-22.823566191824494,-8.091937759917082,False,False,negative,0.06659667016649168
filament_diameter__ridge__full_vs_prospective,full_vs_prospective,filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,ridge,Ridge regression,full_retrospective,Full retrospective,prospective_design,Prospective design,54,624.4619449083826,449.29051552721677,175.17142938116578,-15.198413353582737,1538.3723737980874,0.11386802855064607,-52.86068275776119,608.6581245852386,0.9952502374881256,0.02380994363010685,0.6111111111111112,-175.17142938116578,-38.98845475863478,False,False,negative,1.0
filament_diameter__ridge__prospective_vs_core,prospective_vs_core,filament_diameter,raw_outcome,filament_diameter,filament_diameter_um,Filament diameter,µm,ridge,Ridge regression,prospective_design,Prospective design,core_physics,Core physics,54,449.29051552721677,377.92704754067563,71.36346798654125,5.492259607733388,548.6141540979557,0.13007952393040012,-40.724001347044805,241.538344763478,0.4864256787160642,0.3546547071754086,0.42592592592592593,-71.36346798654125,-18.882868651749625,False,False,negative,0.8937838822344596
