dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,model_key,repeat_count,model_display_name,feature_set_display_name,validation_display_name,mae_mean,mae_sd,mae_ci_lower,mae_ci_upper,median_absolute_error_mean,median_absolute_error_sd,median_absolute_error_ci_lower,median_absolute_error_ci_upper,rmse_mean,rmse_sd,rmse_ci_lower,rmse_ci_upper,bias_mean,bias_sd,bias_ci_lower,bias_ci_upper,r2_mean,r2_sd,r2_ci_lower,r2_ci_upper,pearson_r_mean,pearson_r_sd,pearson_r_ci_lower,pearson_r_ci_upper,calibration_intercept_mean,calibration_intercept_sd,calibration_intercept_ci_lower,calibration_intercept_ci_upper,calibration_slope_mean,calibration_slope_sd,calibration_slope_ci_lower,calibration_slope_ci_upper,macro_publication_mae_mean,macro_publication_mae_sd,macro_publication_mae_ci_lower,macro_publication_mae_ci_upper,macro_publication_rmse_mean,macro_publication_rmse_sd,macro_publication_rmse_ci_lower,macro_publication_rmse_ci_upper,macro_publication_absolute_bias_mean,macro_publication_absolute_bias_sd,macro_publication_absolute_bias_ci_lower,macro_publication_absolute_bias_ci_upper,publication_mean_mae_mean,publication_mean_mae_sd,publication_mean_mae_ci_lower,publication_mean_mae_ci_upper,publication_mean_rmse_mean,publication_mean_rmse_sd,publication_mean_rmse_ci_lower,publication_mean_rmse_ci_upper,publication_mean_r2_mean,publication_mean_r2_sd,publication_mean_r2_ci_lower,publication_mean_r2_ci_upper,publication_mean_pearson_r_mean,publication_mean_pearson_r_sd,publication_mean_pearson_r_ci_lower,publication_mean_pearson_r_ci_upper,publication_count,macro_publication_mae_bootstrap_ci_lower,macro_publication_mae_bootstrap_ci_upper,macro_publication_rmse_bootstrap_ci_lower,macro_publication_rmse_bootstrap_ci_upper,primary_rank
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,rbf_svr,5,RBF-SVR,Full retrospective,Publication-grouped,12.78716122159928,0.13556801954936917,12.618831292417044,12.955491150781517,9.935358646930341,0.12590244158818856,9.779030117924336,10.091687175936347,17.7022863287311,0.14666255007929957,17.520180720412874,17.884391937049323,5.226991620824656,0.13579702790570927,5.058377340211064,5.395605901438247,-0.0856201749139573,0.01798653478559121,-0.10795340760966561,-0.063286942218249,0.10504126095198103,0.05568240524590259,0.035902423024751245,0.17418009887921082,18.060691096220637,34.53419636242579,-24.81917723390294,60.940559426344215,0.7259288521424422,0.40713542971011607,0.2204034466781709,1.2314542576067136,11.41674007350847,0.1396673508697182,11.243320152209046,11.590159994807893,13.229907066554404,0.12857745129716125,13.07025707429792,13.389557058810887,9.341313856146371,0.14079204304503665,9.166497445063793,9.516130267228949,9.341313856146371,0.14079204304503704,9.166497445063793,9.516130267228949,12.08320350792118,0.10582014384322792,11.9518104450263,12.21459657081606,-0.08737928783350216,0.019002748695758874,-0.11097431675593952,-0.06378425891106479,0.013222384518717174,0.03880583186951247,-0.03496141983400482,0.06140618887143916,75,9.845973958123631,13.066196694146615,11.233937850017503,15.198991360282076,1
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,prospective_design,publication_grouped,rbf_svr,5,RBF-SVR,Prospective design,Publication-grouped,12.79611759028393,0.1255879716805769,12.640179527240724,12.952055653327138,9.901711979153168,0.20186945366474424,9.651057946200591,10.152366012105745,17.647014171511767,0.13181079736988288,17.48334944984305,17.810678893180484,5.074744261728311,0.13112646068176545,4.911929256287881,5.2375592671687405,-0.07884036691094262,0.016144300484953182,-0.0988861635992926,-0.05879457022259264,0.11049472268226604,0.05015410582653584,0.04822017511535474,0.17276927024917735,17.568410843009595,28.919689145311857,-18.340126007968387,53.476947693987576,0.7329682922065057,0.34135887716520763,0.3091152639632056,1.156821320449806,11.50846865435,0.1676427741376214,11.30031265714431,11.71662465155569,13.324802728068978,0.15522549455118695,13.132064819881395,13.51754063625656,9.432471671274783,0.17186046664506321,9.21907871712711,9.645864625422456,9.432471671274783,0.17186046664506224,9.21907871712711,9.645864625422456,12.08072243252074,0.14638125645178637,11.898966096372725,12.262478768668757,-0.0869937572034476,0.02634786864369012,-0.11970895712771952,-0.054278557279175674,0.007797864737771576,0.04485361676592228,-0.04789525638970298,0.06349098586524614,75,9.915916080035199,13.215672898853626,11.416631873222178,15.349527757181544,2
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,random_forest,5,Random Forest,Full retrospective,Publication-grouped,12.761468729704745,0.31445449856789126,12.371021899759777,13.151915559649714,10.64727423101301,0.16891661922029055,10.437536546228882,10.85701191579714,16.959041955782705,0.39347720209070813,16.470475479832725,17.447608431732686,1.7581059768548595,0.5578240513711836,1.0654759349350924,2.4507360187746263,0.003252959696317692,0.046317170584815694,-0.05425740351751045,0.06076332291014583,0.16737588761657168,0.06940997021847507,0.08119202647989557,0.2535597487532478,28.35348224895237,23.504141238102893,-0.8307637350964931,57.53772823300123,0.631182224890828,0.29122752898828974,0.26957548686022487,0.992788962921431,11.663333896647373,0.37611815290140527,11.196321527118798,12.130346266175948,13.348857600566124,0.3565235279624699,12.90617517138253,13.791540029749717,9.347329993731229,0.4270694931885386,8.817053179307893,9.877606808154566,9.347329993731229,0.4270694931885386,8.817053179307893,9.877606808154566,11.643694398288494,0.46642062229463777,11.064556703565446,12.222832093011542,-0.01094836386747755,0.08109059576984759,-0.11163563722779195,0.08973890949283685,0.211872124521929,0.0691481153711442,0.12601339912193876,0.2977308499219192,75,10.283396565085223,13.219356521110182,11.616454429702637,15.217590356699692,3
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,rbf_svr,5,RBF-SVR,Core physics,Publication-grouped,13.066392899960647,0.13187815286836044,12.902644545394391,13.230141254526902,10.214763044973484,0.2018182801163088,9.964172552373661,10.465353537573307,17.91070648952453,0.2392353042267128,17.613656625166893,18.207756353882164,4.753951599231364,0.33652414074624654,4.336101689140293,5.171801509322435,-0.11143163062293841,0.02979135561546731,-0.1484224843483498,-0.07444077689752704,-0.06638091459632128,0.08269525991099111,-0.16906064164990214,0.03629881245725959,124.829038486063,53.217037947517035,58.751358375587444,190.90671859653855,-0.5336482849342044,0.6284063927106723,-1.3139178790041441,0.24662130913573532,11.672828399102093,0.12595161004219,11.516438819396905,11.82921797880728,13.481904939414912,0.12272334652992138,13.329523778289623,13.634286100540201,9.648641460804821,0.14985914541954312,9.462566755135791,9.834716166473852,9.648641460804821,0.14985914541954265,9.462566755135793,9.83471616647385,12.334117208571994,0.2022615217010237,12.082976358853923,12.585258058290066,-0.1331823254397096,0.037129560484783136,-0.179284763962794,-0.08707988691662519,-0.16068903414826757,0.06345146574091017,-0.2394744347920154,-0.08190363350451975,75,10.04848742502934,13.32428330630999,11.554431431546194,15.404172019758118,4
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,prospective_design,publication_grouped,random_forest,5,Random Forest,Prospective design,Publication-grouped,12.813602224629943,0.3998136862335317,12.317167964444629,13.310036484815257,10.52567095871721,0.2285981252015388,10.241828896597582,10.809513020836839,17.058871927968603,0.5093243957574634,16.426462162349672,17.691281693587534,1.8813129498499794,0.5551564614352883,1.1919951583155841,2.5706307413843748,-0.008801125906941177,0.060605431577022716,-0.08405270839173201,0.06645045657784965,0.15530483410978316,0.0920500599193281,0.041009588675453956,0.26960007954411236,36.43933034363932,25.522566452931866,4.748878437270619,68.12978225000802,0.5313085951649861,0.31499312578787564,0.1401929711925105,0.9224242191374616,11.744980490843364,0.45601248500966224,11.178766205475432,12.311194776211297,13.469449512958326,0.446372074160293,12.915205378669947,14.023693647246704,9.56978430925412,0.48714101105214497,8.964918853782088,10.174649764726151,9.56978430925412,0.487141011052145,8.964918853782088,10.174649764726151,11.791009345912764,0.5494718754120957,11.108749900188059,12.47326879163747,-0.037160694346628095,0.09719251561263921,-0.15784114187769968,0.08351975318444349,0.19680445773630723,0.08776615368975461,0.08782838443892026,0.3057805310336942,75,10.30519849166191,13.254557015546707,11.68433721893454,15.405917511375376,5
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,random_forest,5,Random Forest,Core physics,Publication-grouped,13.28809094404206,0.16729598844448346,13.08036553814663,13.495816349937488,10.68932221780305,0.3988552778278781,10.194077978830611,11.184566456775487,17.63844396559098,0.20601137955304888,17.382647052379667,17.894240878802293,1.8694116530035614,0.23493593110182445,1.5777001654699454,2.1611231405371774,-0.07786226595680908,0.025291059574697787,-0.10926526410713798,-0.04645926780648017,0.012590439820176014,0.033739693416174686,-0.02930292280512075,0.054483802445472775,75.75551399929245,9.543578347479475,63.90559635119019,87.60543164739471,0.0481446905461027,0.11682993475730602,-0.09691883335453905,0.19320821444674446,12.358355241456257,0.32332628029686916,11.956892639538495,12.75981784337402,14.052335065313745,0.3268085065981155,13.646548708364127,14.458121422263362,10.156096555199467,0.3176843001302552,9.761639396933168,10.550553713465765,10.156096555199468,0.31768430013025617,9.76163939693317,10.550553713465767,12.645442010539549,0.42533697082882654,12.11731640675635,13.173567614322748,-0.19193110535992708,0.08018819569600318,-0.2914979010365724,-0.09236430968328173,-0.01605141390434776,0.06629342463860093,-0.09836557259573307,0.06626274478703754,75,10.905996813553621,13.905450400426586,12.329066266662895,15.937409065981948,6
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,elastic_net,5,Elastic Net,Full retrospective,Publication-grouped,13.430486199088506,0.3138497147599123,13.0407903074246,13.82018209075241,11.59208779819291,0.5505269087536764,10.90851835555106,12.27565724083476,17.185061369929603,0.16192764474178967,16.98400164313979,17.386121096719414,0.19136975438508483,0.7658139277805055,-0.759513829062988,1.1422533378331576,-0.0231241990969977,0.019310288631626288,-0.04710108928581153,0.0008526910918161337,0.14973390506408996,0.07950227694289984,0.05101879000886583,0.24844902011931408,48.28994670214733,9.375540124603743,36.64867606571201,59.931217338582655,0.39242625821603366,0.11472663530022163,0.24997432552869508,0.5348781909033722,13.004566365745575,0.2583263610806121,12.683811823404792,13.325320908086358,14.585347258262553,0.2085293765332683,14.326423838853316,14.84427067767179,10.385864142075855,0.20902240621399287,10.126328545462016,10.645399738689694,10.385864142075855,0.20902240621399235,10.126328545462018,10.645399738689692,12.77532398556093,0.264805116737474,12.446525005567864,13.104122965553998,-0.21585930781293278,0.05038876930590168,-0.27842522857386587,-0.15329338705199969,0.06492449730552804,0.10728805706196472,-0.0682912205855449,0.198140215196601,75,11.584456077784793,14.501084585979708,12.912308493935575,16.197574767601367,7
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,prospective_design,publication_grouped,elastic_net,5,Elastic Net,Prospective design,Publication-grouped,13.576441193935906,0.4310960275268657,13.041164776787138,14.111717611084675,11.811639599010757,0.5369188205540811,11.144966829570725,12.478312368450789,17.35341276760614,0.4295969522100764,16.819997698308825,17.886827836903457,-0.004751841563679493,0.9162113015730946,-1.142378429474405,1.1328747463470459,-0.0437055742878472,0.052276560709952985,-0.10861549767130935,0.021204349095614944,0.13847459707625387,0.09275563527009406,0.023303264130858578,0.25364593002164915,52.26581090435477,14.06418089598162,34.8028238215892,69.72879798712034,0.34286389066239886,0.17401001729635285,0.12680191685870282,0.5589258644660949,13.154393487772401,0.35708705790625755,12.711011343745698,13.597775631799104,14.7393777280241,0.312850337920673,14.350922726602118,15.127832729446084,10.551360475680735,0.31453320549503866,10.160815918177917,10.941905033183552,10.551360475680735,0.31453320549503827,10.160815918177919,10.94190503318355,12.92907227808335,0.5678514789312872,12.223991540367606,13.634153015799093,-0.24679383883464262,0.11166485940276266,-0.38544407461953833,-0.10814360304974688,0.06889623265483118,0.10662095884428731,-0.06349117339608583,0.20128363870574817,75,11.78766931687803,14.585976950618887,13.138751923700818,16.433595125121755,8
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,elastic_net,5,Elastic Net,Core physics,Publication-grouped,14.262282219820628,0.389356581152723,13.778832170539589,14.745732269101667,12.199570255279355,0.14911294847917386,12.01442207548675,12.384718435071958,18.27409322889099,0.7351278347771412,17.36131146237073,19.18687499541125,-0.24747658904807945,0.6278180636834831,-1.02701567614586,0.5320624980497011,-0.15832090224508355,0.0954225898564512,-0.27680369668520294,-0.039838107804964176,-0.020739089226427122,0.03990107566174632,-0.07028281836522206,0.028804639912367813,84.13718803789193,8.123699178401981,74.05028323583268,94.22409283995118,-0.05651914639906275,0.10248563657157977,-0.18377187166298864,0.07073357886486314,13.498960980720742,0.31542129839702593,13.107313710234468,13.890608251207016,15.006460071596427,0.3297784266552548,14.596986071834316,15.415934071358539,10.833609327205014,0.336213804510086,10.41614475044572,11.251073903964308,10.833609327205014,0.3362138045100858,10.41614475044572,11.251073903964308,13.569812416681291,0.8279946263357053,12.541721298454066,14.597903534908516,-0.3754016511378925,0.17401086804865062,-0.5914646812900881,-0.1593386209856969,-0.09924624213299667,0.016949867689314696,-0.12029228261713598,-0.07820020164885735,75,11.989411711680026,15.088778539876975,13.353311441648426,16.820750871793294,9
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,full_retrospective,publication_grouped,ridge,5,Ridge regression,Full retrospective,Publication-grouped,14.211214848680067,0.44677109581000407,13.65647526357474,14.765954433785394,11.475602497154693,0.3751902765025114,11.009742238345408,11.941462755963977,18.71103126992453,0.9168247172822986,17.572643025811754,19.849419514037304,1.094025283838477,1.0307776908771622,-0.18585426507530634,2.3739048327522605,-0.21513393378739484,0.1188868078305728,-0.3627514029319867,-0.06751646464280298,0.19669735901333377,0.06447319701706304,0.11664331142814813,0.2767514065985194,56.16587185637559,6.563248913638188,48.01652196906107,64.3152217436901,0.29115602922939765,0.08150470093074524,0.18995457639932628,0.392357482059469,14.120829995834956,0.7070619541866996,13.24289662282173,14.998763368848183,15.779588926692366,0.6698698721335811,14.947835622982737,16.611342230401995,11.377852519042005,0.6539919257946264,10.565814289666868,12.189890748417142,11.377852519042003,0.6539919257946262,10.565814289666866,12.18989074841714,16.556718106690735,2.267519579520435,13.741220679578069,19.372215533803402,-1.0720824527352104,0.5965886901275606,-1.8128451510021453,-0.33131975446827566,0.07215576754877484,0.10543411186758644,-0.05875797333979574,0.20306950843734542,75,11.943900736397536,16.95213168254639,13.647293651111987,18.478008716870345,10
