scenario_key,scenario_label,source_column,feature_mode,validation_design,repeat_count,row_count,publication_count,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,macro_publication_mae_mean,macro_publication_mae_sd,source_seen_fraction_mean
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,publication_grouped,5,608.0,75.0,13.160643071236175,0.3672643601608551,17.381932592837593,0.3570156414252944,-0.04697908635115171,0.04271690954625784,12.30803337756274,0.35608632927271316,0.0
core_physics_features,Core-physics feature set,meta_primary_source_id,core_physics,random_rowwise,5,608.0,75.0,8.255457631670813,0.07222873330569089,12.380957916158247,0.15742912456775043,0.46891993314196545,0.013515048639323263,8.728551404679518,0.06969556477600566,0.99375
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,publication_grouped,5,150.0,34.0,14.177254108698786,0.6082725112800375,20.56594138890138,0.5070898287096253,0.05987624044627822,0.04651967175351782,12.41968461205324,0.5207195859744258,0.0
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,random_rowwise,5,150.0,34.0,11.509617488093253,0.4177763839187079,16.743322121225766,0.748057355696471,0.376189182322254,0.055171389856847046,10.788772052852277,0.31402853606865283,0.9386666666666666
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,publication_grouped,5,336.0,69.0,14.208900227742959,0.3008065661726458,18.828837959343723,0.33094081518740465,-0.017444515861165355,0.03586768169121184,12.950219332031892,0.10520025566915686,0.0
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,random_rowwise,5,336.0,69.0,9.505356539104053,0.08093393984766556,13.952340278392501,0.2528966635166368,0.4413180599489257,0.02026522326557862,10.156850824624255,0.24527790263661325,0.943452380952381
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,publication_grouped,5,608.0,75.0,12.669600424428442,0.49965525558209145,16.742247648649442,0.5561052870216123,0.02813484868053424,0.06480358136394956,11.601993839889394,0.3783029615404744,0.0
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,random_rowwise,5,608.0,75.0,8.004678134692977,0.13931837811306227,11.838984592934352,0.20167990114614517,0.5143481352584234,0.016628540060713376,8.21332712088856,0.11380809562593296,0.9901315789473685
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,meta_primary_source_id,prospective_design,publication_grouped,5,593.0,66.0,13.087251774513584,0.3154114340860205,17.186358733991142,0.43332568618164524,-0.015033958385739732,0.051164855382551395,12.119211448959566,0.2727310911046766,0.0
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,meta_primary_source_id,prospective_design,random_rowwise,5,593.0,66.0,8.19048719040691,0.14107923102439782,12.146944336864085,0.33261285215971365,0.4929082740011682,0.027857805265384714,8.506370895541705,0.16853504138696812,0.9946037099494097
minimum_source_size_5,Exclude DOI sources with fewer than 5 rows,meta_primary_source_id,prospective_design,publication_grouped,5,499.0,40.0,13.878292228671949,0.41354615311642584,18.102082559170373,0.3939116946184737,-0.09844954729870632,0.047655613411201114,12.609467000913922,0.544591167377145,0.0
minimum_source_size_5,Exclude DOI sources with fewer than 5 rows,meta_primary_source_id,prospective_design,random_rowwise,5,499.0,40.0,7.878517368109345,0.16984538739932747,11.643956036754053,0.17593289906577,0.5455993245731989,0.013673217933204111,7.626620801211483,0.21903011973207875,1.0
missingness_le_20,Prospective features with <=20% missingness,meta_primary_source_id,missingness_le_20,publication_grouped,5,608.0,75.0,13.695325198440548,0.2016183226974217,17.82722788982381,0.2845645256851115,-0.1011626819616255,0.03501326277572755,12.649760492688916,0.2503304736893077,0.0
missingness_le_20,Prospective features with <=20% missingness,meta_primary_source_id,missingness_le_20,random_rowwise,5,608.0,75.0,8.763202729033203,0.11982511715746057,12.56459805792265,0.21529808848148657,0.4529909172504335,0.018805988869618324,9.102894267629281,0.22883765420036453,0.9865131578947368
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,publication_grouped,5,608.0,75.0,13.242196602152395,0.23603742130216024,17.487888030511108,0.3353282946919038,-0.05973624672417155,0.04054759671842397,12.393358449364317,0.20331952489001734,0.0
missingness_le_30,Prospective features with <=30% missingness,meta_primary_source_id,missingness_le_30,random_rowwise,5,608.0,75.0,8.795121965109278,0.13790949089694388,12.677353797628092,0.28235352349452963,0.4430388916625388,0.02466422215429628,9.059881544586304,0.19679261822456118,0.9888157894736842
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,publication_grouped,5,608.0,75.0,12.624045748603518,0.12017216140103909,17.028604859984192,0.1404542157636233,-0.004562837704248923,0.016545197130408938,12.0979980704379,0.1897968163624601,0.0
missingness_le_50,Prospective features with <=50% missingness,meta_primary_source_id,missingness_le_50,random_rowwise,5,608.0,75.0,8.269306977384565,0.16694010944736673,12.369646885628752,0.4112948610595087,0.46948961506013187,0.035783341117665374,8.672752475500483,0.1533027528760231,0.9871710526315789
non_primary_cells_only,Non-primary-cell observations only,meta_primary_source_id,prospective_design,publication_grouped,5,261.0,33.0,13.285300845001464,0.7518100898911949,17.985845664226424,0.6995145658831543,-0.017567358511854626,0.07887384611104473,13.55452228190517,0.37719711518092286,0.0
