section,result_id,outcome,context,metric,estimate,ci_lower,ci_upper,adjusted_p_value,unit,interpretation
Continuous validation gap,continuous_gap_cell_viability,cell_viability,Conditional random-intercept RF,Grouped minus random macro-publication MAE,3.7817673113540855,2.772287410235743,4.833975011491966,0.0002799944001119,percentage points,Higher error for unseen publications; strong evidence of a validation generalization gap.
Continuous validation gap,continuous_gap_filament_diameter,filament_diameter,Conditional random-intercept RF,Grouped minus random macro-publication MAE,138.60796533280975,103.15740351670308,175.02522057623827,0.0002799944001119,micrometers,Higher error for unseen publications; strong evidence of a validation generalization gap.
Hierarchical known-source contrast,known_source_conditional_vs_matched_cell_viability,cell_viability,Random row-wise validation,Conditional minus matched fixed RF macro-MAE,-0.0602464998593092,-0.086585766761812,-0.0344213482984743,0.0009599808003839,percentage points,Negative values favor conditional prediction for a source represented in training.
Hierarchical known-source contrast,known_source_conditional_vs_matched_filament_diameter,filament_diameter,Random row-wise validation,Conditional minus matched fixed RF macro-MAE,-10.76641547500141,-18.459590281785736,-4.240388168501587,0.0137997240055198,micrometers,Negative values favor conditional prediction for a source represented in training.
Classification sensitivity,classification_gap_cell_viability,cell_viability,Prospective-design Random Forest classifier,Random minus grouped balanced accuracy,0.1391893275103211,0.0483224421674747,0.218240561275866,0.0048,balanced-accuracy units,Positive values indicate better apparent performance under random row-wise validation.
Classification sensitivity,classification_gap_filament_diameter,filament_diameter,Prospective-design Random Forest classifier,Random minus grouped balanced accuracy,0.4015394693743858,0.1438755767599367,0.4687176895546129,0.0062,balanced-accuracy units,Positive values indicate better apparent performance under random row-wise validation.
Prespecified sensitivity analysis,primary_matched_rf_sensitivity_gap,cell_viability,"Matched fixed Random Forest, primary prospective scenario",Grouped minus random macro-publication MAE,3.766341668242781,2.7545371146395863,4.808367142635474,0.0002799944001119,percentage points,The primary matched fixed-RF sensitivity result independently reproduced the random-versus-grouped gap.
