original_feature,publication_count,macro_publication_mean_absolute_shap,importance_bootstrap_ci_lower,importance_bootstrap_ci_upper,importance_rank,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,bootstrap_top_3_frequency,bootstrap_top_5_frequency,bootstrap_top_10_frequency,dataset,target_key,target_label,unit,feature_set,model_variant,model_display_name,task_count,task_feature_count,task_importance_mean,task_importance_sd,task_rank_mean,task_rank_median,task_rank_q1,task_rank_q3,task_top_3_frequency,task_top_5_frequency,task_top_10_frequency,rank_stability_category
final_p127_conc_pctw_or_v,75,0.0015840563165271544,0.0013393552029866695,0.001856430912941142,45.0,45.0,44.0,45.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.0015952844936274679,0.0013625122384370227,42.94,43.0,41.0,45.0,0.0,0.0,0.0,Low rank stability
final_pegda_conc_pctw_or_v,75,0.0391474421423099,0.03451324734121816,0.04396725724055511,34.0,34.0,33.0,34.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.038643413889407244,0.019651549679625183,32.96,33.0,32.0,35.0,0.0,0.0,0.0,Low rank stability
final_pegma_conc_pctw_or_v,75,0.0018008784573672414,0.0015724173525980794,0.0020507771581313753,44.0,44.0,43.0,45.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.001811018326167616,0.0015478503664724428,43.26,43.5,42.0,44.5,0.0,0.0,0.0,Low rank stability
final_pegta_conc_pctw_or_v,75,0.0,0.0,0.0,46.0,46.0,46.0,46.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.0,0.0,45.14,45.0,44.5,46.0,0.0,0.0,0.0,Low rank stability
final_tcp_conc_pctw_or_v,75,0.0036761044457186433,0.002988965893323872,0.00453345971925368,41.0,41.0,40.0,42.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.0036814803975852,0.002531986048918691,40.7,40.0,39.0,43.0,0.0,0.0,0.0,Low rank stability
inner_nozzle_outer_diameter_um,75,0.09423082102772293,0.07190330141342373,0.12161057746345717,27.0,27.0,25.0,29.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.09451425547829385,0.06030148538671134,27.96,29.0,26.0,30.0,0.0,0.0,0.0,Low rank stability
matrigel_used,75,0.06292877808851974,0.05768111159793371,0.06808153241624731,29.0,30.0,29.0,32.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.06191429491807519,0.034799182242432634,31.5,29.0,28.0,30.0,0.0,0.0,0.0,Low rank stability
nozzle_movement_speed_mm_or_s,75,0.4373529177874418,0.3675237679637806,0.5153675112164873,12.0,13.0,10.0,17.0,0.0,0.0,0.0829,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.4422598874115622,0.22389527948633706,13.0,13.0,10.0,17.0,0.04,0.12,0.28,Low rank stability
outer_nozzle_inner_diameter_um,75,0.3954388648971194,0.3359277184399157,0.46704656682011453,14.0,15.0,12.0,19.0,0.0,0.0,0.0031,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.3992854757712412,0.19738824424682436,14.28,14.0,10.0,19.0,0.04,0.12,0.28,Low rank stability
photocrosslinking_duration_s,75,0.2739171114239465,0.231592010245607,0.32228955170819845,22.0,22.0,20.0,23.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.27285610642580915,0.12005677133704541,18.6,20.0,14.0,22.0,0.0,0.0,0.08,Low rank stability
photoinitiator_used,75,0.106274459130233,0.08993827340102153,0.12515119427816573,25.0,25.0,25.0,27.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.10731296379708435,0.06096993610714218,26.64,26.0,25.0,28.0,0.0,0.0,0.0,Low rank stability
physical_crosslinking_duration_s,75,0.49173236888092325,0.4304120180251892,0.5592578133004518,10.0,10.0,8.0,13.0,0.0,0.0,0.5185,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.49231142418040735,0.14820183140709706,10.52,9.0,8.0,12.0,0.0,0.08,0.64,Low rank stability
precrosslinking_solution_used,75,0.05570544223645749,0.04187853923098833,0.07615442588857992,32.0,32.0,29.0,33.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.05630515686603998,0.03431141461682014,31.24,31.0,30.0,33.0,0.0,0.0,0.0,Low rank stability
primary_or_not_primary,75,0.3041396036272355,0.26863889219044074,0.34192812243838,21.0,21.0,18.0,22.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.30789539240308506,0.1642231207904614,17.16,20.0,10.0,22.0,0.0,0.04,0.32,Low rank stability
saline_solution_used,75,0.3844277942478522,0.3281258825650418,0.4447586663681036,15.0,16.0,12.0,19.0,0.0,0.0,0.0008,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.3895835816145179,0.24701189434918308,15.72,17.0,11.0,21.0,0.08,0.16,0.16,Low rank stability
source_nacl2_concentration_mm,75,0.22986297538832204,0.20220849420594306,0.26261017010774773,23.0,23.0,22.0,24.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.227017738797805,0.0928113223779985,20.32,19.0,16.0,22.0,0.0,0.0,0.0,Low rank stability
srcl2_conc_mm,75,0.00913080509416868,0.006638293739745839,0.013268774727676205,38.0,38.0,38.0,38.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.009210257671420797,0.005753636724614879,37.72,37.0,36.0,39.0,0.0,0.0,0.0,Low rank stability
substrate_temperature_degc,75,0.367984847441398,0.2957488783558567,0.45445318161456577,17.0,17.0,12.0,21.0,0.0,0.0,0.0024,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.3659364413706505,0.22998798092865763,15.68,16.0,14.0,18.0,0.08,0.08,0.16,Low rank stability
syringe_temperature_degc,75,0.5639736137760634,0.48577599210441796,0.6475161081064414,8.0,8.0,5.0,11.0,0.0,0.0401,0.971,cell_viability,cell_viability,Cell viability,percentage points,full_retrospective,tuned_rf_reference,Tuned Random Forest,25,46,0.5592803043560033,0.21960502439521096,9.56,9.0,7.0,14.0,0.08,0.2,0.64,Low rank stability
bacl2_conc_mm,75,0.013805586867413283,0.01142587233346312,0.016566141663719686,33.0,33.0,31.0,34.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.013867818123705794,0.01109733170372038,32.08,33.0,30.0,34.0,0.0,0.0,0.0,Low rank stability
cacl2_conc_mm,75,0.36442404778195026,0.29538343806850786,0.44485548873391967,16.0,16.0,14.0,19.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.36641719959420466,0.2727286780019686,15.4,16.0,11.0,20.0,0.0,0.08,0.24,Low rank stability
cell_culture_medium_used,75,0.3330832843349932,0.2709318724672667,0.40206157643043244,18.0,18.0,14.0,19.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.32754902630616406,0.38330670622813334,17.16,19.0,12.0,22.0,0.0,0.08,0.24,Low rank stability
cell_density_cells_or_ml,75,0.6789634035244593,0.5712806509474471,0.7934004672029069,8.0,8.0,5.0,12.0,0.0,0.0274,0.8889,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.6612912565618428,0.5659167608294979,10.64,12.0,7.0,14.0,0.16,0.16,0.4,Low rank stability
conical_or_straight_nozzle,75,0.7372361465201414,0.6377311701016598,0.8420642150077771,7.0,6.0,4.0,10.0,0.0003,0.2586,0.9882,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.7282134951338365,0.4596250815496361,9.8,8.0,5.0,16.0,0.16,0.28,0.6,Low rank stability
days_observed,75,0.8233374141369012,0.7232668323653373,0.9292524001988912,4.0,4.0,4.0,7.0,0.0054,0.8648,0.9999,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.8254858169114067,0.20446457915190255,6.36,6.0,4.0,8.0,0.04,0.48,0.92,Low rank stability
di_water_used,75,0.3247393841085076,0.27321573805896276,0.38058704036507685,19.0,18.0,15.0,19.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.3273789008753779,0.3939863251019009,16.56,18.0,15.0,20.0,0.04,0.04,0.12,Low rank stability
enzymatic_crosslinker_used,75,0.029830816927917912,0.021037448400856508,0.04109071777462959,30.0,30.0,28.0,30.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.029553024055417678,0.0212847274272631,29.04,29.0,27.0,32.0,0.0,0.0,0.0,Low rank stability
etoh_solution_used,75,0.04015680894403444,0.034023559509613756,0.04753236407144775,27.0,28.0,27.0,29.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.039946240277032016,0.028358587692786413,29.2,28.0,25.0,31.0,0.0,0.0,0.0,Low rank stability
extrusion_pressure_kpa,75,1.8228979365441826,1.5796361593756896,2.09088649641263,1.0,1.0,1.0,3.0,1.0,1.0,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,1.8292643841201168,0.5459669489721365,2.12,2.0,1.0,3.0,0.88,1.0,1.0,High rank stability
extrusion_rate_lengthwise_mm_or_s,75,0.7525720766973728,0.5962366650397967,0.9289063873716609,5.0,6.0,4.0,11.0,0.0025,0.4273,0.9649,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.7549664952599789,0.318355930248777,8.36,8.0,6.0,9.0,0.04,0.2,0.8,Low rank stability
extrusion_rate_volume_wise_ml_or_s,75,1.4219057407430653,0.9481337888950307,2.007254517732737,3.0,3.0,1.0,3.0,0.9916,0.9996,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,1.4159924892245643,0.8707099232263127,5.0,3.0,2.0,5.0,0.56,0.76,0.84,Moderate rank stability
final_agarose_conc_pctw_or_v,75,0.018051740275499894,0.013831132492701735,0.02370938478780654,31.0,31.0,31.0,33.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.017540990307137266,0.020440364354067653,32.78,32.0,30.0,35.0,0.0,0.0,0.0,Low rank stability
final_alginate_conc_pctw_or_v,75,0.6750655739129784,0.5979477149279837,0.7561438945415888,9.0,9.0,6.0,11.0,0.0,0.0194,0.9522,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.6746569017290145,0.23299275507181375,8.28,8.0,6.0,10.0,0.0,0.12,0.8,Low rank stability
final_chitosan_conc_pctw_or_v,75,0.0013944248908227957,0.0011627930663391727,0.0016462043701105558,41.0,41.0,39.0,41.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.001409322834717196,0.0011589264494513767,39.16,40.0,38.0,41.0,0.0,0.0,0.0,Low rank stability
final_collagen_conc_pctw_or_v,75,0.009820657136089333,0.008102207351499394,0.011816501669019687,35.0,35.0,34.0,35.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.009773287078829103,0.0070802701676124,33.64,33.0,31.0,35.0,0.0,0.0,0.0,Low rank stability
final_cs_aema_conc_pctw_or_v,75,0.0027172651517941987,0.002338907583603011,0.003130871860814119,37.0,37.0,37.0,38.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.0026825351159076682,0.002233479572455454,37.94,37.0,36.0,40.0,0.0,0.0,0.0,Low rank stability
final_fibroin_or_fibrinogen_concentration_pct_wv,75,0.05461465547402058,0.042903179001471684,0.06723249671785331,25.0,25.0,25.0,26.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.05501105229903524,0.028749197541946235,26.52,26.0,24.0,29.0,0.0,0.0,0.0,Low rank stability
final_gelatin_conc_pctw_or_v,75,0.4078965891828763,0.31200628352175924,0.5224345586363698,14.0,14.0,13.0,18.0,0.0,0.0,0.0009,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.40969493688580483,0.15027178604242214,12.96,13.0,11.0,14.0,0.0,0.0,0.2,Low rank stability
final_gellan_conc_pctw_or_v,75,0.01590284206808251,0.012517522507501684,0.02065729292967148,32.0,32.0,31.0,34.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.01564114105416663,0.012406896434024253,32.08,31.0,30.0,33.0,0.0,0.0,0.0,Low rank stability
final_gelma_conc_pctw_or_v,75,0.11928288143733567,0.09410491135546759,0.1487999260045265,23.0,23.0,22.0,24.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.1206550768373522,0.057737298223613454,22.04,21.0,20.0,24.0,0.0,0.0,0.0,Low rank stability
final_hyaluronic_acid_conc_pctw_or_v,75,0.18251256446502823,0.13609276349491592,0.24049738569130352,21.0,21.0,20.0,22.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.18522010679194006,0.12999435140021676,20.16,20.0,17.0,22.0,0.0,0.0,0.0,Low rank stability
final_meha_conc_pctw_or_v,75,0.0015171031554214078,0.001267862938923785,0.001794721505792587,40.0,40.0,40.0,41.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.001515213215184888,0.0010546811877540085,39.16,39.0,38.0,40.0,0.0,0.0,0.0,Low rank stability
final_nano_or_methylcellulose_concentration_pct_wv,75,1.631793699063584,1.2482804187606438,2.1440655168937095,2.0,2.0,1.0,3.0,1.0,1.0,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,1.6417717929619267,0.7556743040334309,3.96,2.0,1.0,4.0,0.72,0.8,0.96,High rank stability
final_norha_conc_pctw_or_v,75,0.0017867448369457202,0.001388940798264292,0.0022585520319594946,39.0,39.0,39.0,40.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.00180107491447062,0.0013648421939676052,38.72,38.0,36.0,41.0,0.0,0.0,0.0,Low rank stability
final_p127_conc_pctw_or_v,75,0.0008361432536293617,0.0006826580650357537,0.0010021117440948135,42.0,42.0,42.0,42.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.000844684551841748,0.0006941934498639249,40.48,41.0,39.0,42.0,0.0,0.0,0.0,Low rank stability
final_pegda_conc_pctw_or_v,75,0.05275973258659049,0.04689975497624162,0.05883953799093862,26.0,26.0,25.0,26.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.051954282675830604,0.024501542181000147,26.12,25.0,24.0,27.0,0.0,0.0,0.0,Low rank stability
final_pegma_conc_pctw_or_v,75,0.0,0.0,0.0,43.5,43.5,43.5,43.5,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.0,0.0,42.76,43.0,42.5,43.0,0.0,0.0,0.0,Low rank stability
final_pegta_conc_pctw_or_v,75,0.0,0.0,0.0,43.5,43.5,43.5,43.5,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.0,0.0,42.76,43.0,42.5,43.0,0.0,0.0,0.0,Low rank stability
final_tcp_conc_pctw_or_v,75,0.002484494536151888,0.0020524583068563074,0.0031086964605710884,38.0,38.0,37.0,38.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.002471153661684368,0.0013175431917703186,37.54,37.0,36.0,39.0,0.0,0.0,0.0,Low rank stability
inner_nozzle_outer_diameter_um,75,0.09965931298973617,0.07426337465015273,0.13225119175770503,24.0,24.0,23.0,24.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.10047229307223994,0.06425401853205932,23.04,24.0,22.0,24.0,0.0,0.0,0.0,Low rank stability
matrigel_used,75,0.03492851407660467,0.030580232061835428,0.039765333954440596,29.0,29.0,28.0,30.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.034317660261982616,0.018781131052699532,30.14,27.0,27.0,29.0,0.0,0.0,0.0,Low rank stability
nozzle_movement_speed_mm_or_s,75,0.5274921646494942,0.44374246339468804,0.6178981727363803,12.0,12.0,10.0,14.0,0.0,0.0001,0.0403,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.5374667580377871,0.3356218107499033,11.6,12.0,8.0,15.0,0.08,0.16,0.4,Low rank stability
outer_nozzle_inner_diameter_um,75,0.6658858854121532,0.5595543956349975,0.8011838808911643,10.0,9.0,5.0,12.0,0.0001,0.0641,0.8707,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.6735278430806863,0.4028908118286607,9.12,9.0,5.0,11.0,0.08,0.28,0.6,Low rank stability
photocrosslinking_duration_s,75,0.502417544185905,0.39717645017789605,0.62129405188925,13.0,13.0,10.0,15.0,0.0,0.0,0.0402,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.5021424466997252,0.39654235957741785,12.72,13.0,10.0,16.0,0.04,0.12,0.28,Low rank stability
photoinitiator_used,75,0.04012801531056167,0.03385621367894462,0.04691431410371393,28.0,28.0,27.0,29.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.0402210642428129,0.02307615745444862,27.6,28.0,25.0,30.0,0.0,0.0,0.0,Low rank stability
physical_crosslinking_duration_s,75,0.6020075659188107,0.5285480630205729,0.6805180112250683,11.0,11.0,8.0,12.0,0.0,0.0,0.2704,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.6015895274934883,0.2500464536828067,9.32,9.0,7.0,12.0,0.0,0.12,0.68,Low rank stability
precrosslinking_solution_used,75,0.012564800964377794,0.009779587672008818,0.016625943703040564,34.0,34.0,32.0,35.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.012612107150152955,0.01171982570233428,32.56,33.0,32.0,34.0,0.0,0.0,0.0,Low rank stability
primary_or_not_primary,75,0.20106101268522414,0.18085027330631961,0.22176275972026274,20.0,20.0,20.0,21.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.20277461052823006,0.1026605485354432,18.68,19.0,17.0,21.0,0.0,0.0,0.0,Low rank stability
saline_solution_used,75,0.33971114174341954,0.2873069108312594,0.39569388674705513,17.0,17.0,14.0,19.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.3468298023599335,0.25678322518045377,15.6,18.0,13.0,20.0,0.0,0.04,0.2,Low rank stability
source_nacl2_concentration_mm,75,0.138853171525108,0.12204680438787138,0.15575090392607416,22.0,22.0,21.0,23.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.13561391476997364,0.11287543434163366,21.92,21.0,17.0,27.0,0.0,0.0,0.0,Low rank stability
srcl2_conc_mm,75,0.005754516035332367,0.0045345324271569894,0.007371791334717654,36.0,36.0,36.0,36.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.005822339047188548,0.0035819314426836836,34.8,35.0,34.0,36.0,0.0,0.0,0.0,Low rank stability
substrate_temperature_degc,75,0.3716108620255075,0.27823216144018464,0.4864337437523695,15.0,16.0,13.0,19.0,0.0,0.0,0.0001,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.36882035234326954,0.296209705553581,15.0,15.0,12.0,19.0,0.04,0.04,0.16,Low rank stability
syringe_temperature_degc,75,0.7449254948539323,0.6217820136516607,0.8820825746530727,6.0,6.0,4.0,10.0,0.0001,0.3387,0.9833,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,matched_fixed_rf,Matched fixed Random Forest,25,44,0.7378399640897295,0.4445203758809945,9.12,8.0,6.0,13.0,0.16,0.24,0.56,Low rank stability
bacl2_conc_mm,75,0.018237929281818402,0.015127574395893297,0.022082332577976798,35.0,34.0,34.0,35.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.018316379404832123,0.007471718552427914,33.8,35.0,33.0,35.0,0.0,0.0,0.0,Low rank stability
cacl2_conc_mm,75,0.35793368646444607,0.3030727016933266,0.4204900746353641,18.0,18.0,15.0,19.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.36020700508251563,0.17071543412396908,15.36,17.0,12.0,18.0,0.0,0.0,0.24,Low rank stability
cell_culture_medium_used,75,0.46290781049134905,0.3960603574400164,0.5369210827172936,12.0,13.0,10.0,17.0,0.0,0.0,0.0415,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.4613569278259779,0.3362145913540801,14.76,16.0,7.0,20.0,0.04,0.16,0.28,Low rank stability
cell_density_cells_or_ml,75,0.554375032032149,0.477453093250719,0.638844236036066,10.0,10.0,7.0,12.0,0.0,0.0001,0.8405,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.5464878492951535,0.2851247538105501,10.92,11.0,6.0,14.0,0.12,0.16,0.44,Low rank stability
conical_or_straight_nozzle,75,0.7788921117862617,0.6689578214074768,0.890540817794547,4.0,4.0,3.0,7.0,0.1642,0.819,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.770141507250576,0.3896162542068013,7.72,4.0,3.0,13.0,0.44,0.52,0.72,Moderate rank stability
days_observed,75,0.7672664841598204,0.6749729805624397,0.8655649727529987,5.0,5.0,3.0,6.0,0.0803,0.8149,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.7675166159868091,0.13737910021692953,5.92,5.0,4.0,8.0,0.16,0.56,0.96,Moderate rank stability
di_water_used,75,0.4101250927208493,0.35811144892795194,0.4664670927569395,17.0,16.0,12.0,18.0,0.0,0.0,0.0005,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.4143252393113852,0.29550627333628576,14.76,15.0,12.0,20.0,0.04,0.08,0.2,Low rank stability
enzymatic_crosslinker_used,75,0.08932825063200296,0.05630456342381168,0.13730633876026646,27.0,27.0,24.0,31.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.0893286833329354,0.061075238280964665,27.8,28.0,26.0,30.0,0.0,0.0,0.0,Low rank stability
etoh_solution_used,75,0.10267141523701877,0.08882326481930027,0.1207349852493596,26.0,26.0,25.0,27.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.10245185861490162,0.05818742146091772,26.94,25.0,24.0,28.0,0.0,0.0,0.0,Low rank stability
extrusion_pressure_kpa,75,1.4017967997464589,1.2111381955200917,1.614956990789672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,1.408854368675248,0.39994960928027856,1.88,1.0,1.0,3.0,0.8,1.0,1.0,High rank stability
extrusion_rate_lengthwise_mm_or_s,75,0.7157456213586707,0.5616122429050919,0.8903263373439474,6.0,6.0,3.0,9.0,0.0742,0.3827,0.9931,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.7169649872569417,0.25753668015197784,7.44,7.0,6.0,10.0,0.2,0.24,0.76,Low rank stability
extrusion_rate_volume_wise_ml_or_s,75,0.9308816637007381,0.6741226024098256,1.2544475968187,3.0,3.0,2.0,6.0,0.7665,0.9298,1.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.9225002161408423,0.605693602462612,7.32,4.0,2.0,10.0,0.4,0.72,0.76,Moderate rank stability
final_agarose_conc_pctw_or_v,75,0.03913183783599374,0.03208662922610587,0.0476237110856268,33.0,33.0,32.0,33.0,0.0,0.0,0.0,cell_viability,cell_viability,Cell viability,percentage points,prospective_design,tuned_rf_reference,Tuned Random Forest,25,44,0.03882620747469288,0.03016606875490644,32.76,32.0,31.0,34.0,0.0,0.0,0.0,Low rank stability
