dataset,target_key,feature_set,model_variant,task_id,observed_feature_count,minimum_task_rank,maximum_task_rank,task_rank_sum,minimum_task_importance,maximum_task_importance,original_feature_count,expected_rank_sum,feature_count_matches_inventory,minimum_rank_valid,maximum_rank_valid,rank_sum_valid
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r01__f02,15,1.0,15.0,120.0,0.1970856437210124,1.9769574989453105,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r01__f03,15,1.0,15.0,120.0,0.2344131345837448,2.693242817487433,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r01__f04,15,1.0,15.0,120.0,0.0863085665352775,1.843928739768824,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r01__f05,15,1.0,15.0,120.0,0.2482084829830645,2.1195096070917567,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r02__f01,15,1.0,15.0,120.0,0.0815289879388455,1.8550703992489068,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r02__f02,15,1.0,15.0,120.0,0.1233246853901933,1.9406835158255509,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r02__f03,15,1.0,15.0,120.0,0.0910165970082269,2.3053538963390574,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r02__f04,15,1.0,15.0,120.0,0.1933410575486866,1.1893242877474737,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r02__f05,15,1.0,15.0,120.0,0.1809208977335036,1.962310838484956,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r03__f01,15,1.0,15.0,120.0,0.1031058535460727,1.6123623487293712,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r03__f02,15,1.0,15.0,120.0,0.1212562940900647,1.731603291629388,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r03__f03,15,1.0,15.0,120.0,0.0718649338084445,2.2232714408615357,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r03__f04,15,1.0,15.0,120.0,0.1281550091379834,0.9637157421581164,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r03__f05,15,1.0,15.0,120.0,0.2453719515469383,2.100169275451116,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r04__f01,15,1.0,15.0,120.0,0.0717935018154047,1.087530831253082,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r04__f02,15,1.0,15.0,120.0,0.2642212751076168,1.8133835307534611,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r04__f03,15,1.0,15.0,120.0,0.1381973946323386,1.954561048356659,15,120.0,True,True,True,True
cell_viability,cell_viability,core_physics,tuned_rf_reference,step16__cell_viability__core_physics__publication_grouped__r04__f04,15,1.0,15.0,120.0,0.1987501386101867,1.9578186489498624,15,120.0,True,True,True,True
