dataset,target_key,feature_set,common_feature_count,importance_spearman,rank_spearman,top_5_jaccard,tuned_top_5_json,matched_top_5_json
cell_viability,cell_viability,core_physics,15,0.9392857142857142,0.9392857142857142,1.0,"[""conical_or_straight_nozzle"", ""days_observed"", ""extrusion_pressure_kpa"", ""final_alginate_conc_pctw_or_v"", ""syringe_temperature_degc""]","[""conical_or_straight_nozzle"", ""days_observed"", ""extrusion_pressure_kpa"", ""final_alginate_conc_pctw_or_v"", ""syringe_temperature_degc""]"
cell_viability,cell_viability,full_retrospective,46,0.9742514420741096,0.9742514420741096,0.42857142857142855,"[""conical_or_straight_nozzle"", ""extrusion_pressure_kpa"", ""extrusion_rate_lengthwise_mm_or_s"", ""extrusion_rate_volume_wise_ml_or_s"", ""final_nano_or_methylcellulose_concentration_pct_wv""]","[""days_observed"", ""extrusion_pressure_kpa"", ""extrusion_rate_volume_wise_ml_or_s"", ""fiber_diameter_um"", ""final_nano_or_methylcellulose_concentration_pct_wv""]"
cell_viability,cell_viability,prospective_design,44,0.9812185072514096,0.9812185072514096,0.6666666666666666,"[""conical_or_straight_nozzle"", ""days_observed"", ""extrusion_pressure_kpa"", ""extrusion_rate_volume_wise_ml_or_s"", ""final_nano_or_methylcellulose_concentration_pct_wv""]","[""days_observed"", ""extrusion_pressure_kpa"", ""extrusion_rate_lengthwise_mm_or_s"", ""extrusion_rate_volume_wise_ml_or_s"", ""final_nano_or_methylcellulose_concentration_pct_wv""]"
filament_diameter,filament_diameter,core_physics,14,0.9692307692307693,0.9692307692307693,1.0,"[""conical_or_straight_nozzle"", ""extrusion_pressure_kpa"", ""nozzle_movement_speed_mm_or_s"", ""outer_nozzle_inner_diameter_um"", ""physical_crosslinking_duration_s""]","[""conical_or_straight_nozzle"", ""extrusion_pressure_kpa"", ""nozzle_movement_speed_mm_or_s"", ""outer_nozzle_inner_diameter_um"", ""physical_crosslinking_duration_s""]"
filament_diameter,filament_diameter,full_retrospective,40,0.9950748169866198,0.9950748169866198,1.0,"[""conical_or_straight_nozzle"", ""construct_base_area_mm_2"", ""days_observed"", ""di_water_used"", ""outer_nozzle_inner_diameter_um""]","[""conical_or_straight_nozzle"", ""construct_base_area_mm_2"", ""days_observed"", ""di_water_used"", ""outer_nozzle_inner_diameter_um""]"
filament_diameter,filament_diameter,prospective_design,38,0.9885648644221677,0.9885648644221677,1.0,"[""conical_or_straight_nozzle"", ""days_observed"", ""di_water_used"", ""nozzle_movement_speed_mm_or_s"", ""outer_nozzle_inner_diameter_um""]","[""conical_or_straight_nozzle"", ""days_observed"", ""di_water_used"", ""nozzle_movement_speed_mm_or_s"", ""outer_nozzle_inner_diameter_um""]"
