comparison_id,dataset,target_key,target_label,unit,winner_model_key,winner_model_display_name,winner_feature_set,winner_feature_set_display_name,focal_label,comparator_label,n_paired_publications,focal_mean,comparator_mean,mean_difference_focal_minus_comparator,median_difference_focal_minus_comparator,difference_sd,paired_standardized_effect_dz,bootstrap_ci_lower,bootstrap_ci_upper,permutation_p_value,wilcoxon_p_value,probability_publication_favors_claim,claim_aligned_difference,claim_aligned_relative_effect_percent,favorable_mean_direction,favorable_ci_excludes_zero,favorable_direction,adjusted_p_value_holm,claim_support
cell_viability__winner_vs_global_mean,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,"RBF-SVR, Full retrospective",Global training mean,75,11.416740073508468,12.618915121335974,-1.2021750478275037,-0.9785372247529089,3.877560987062924,-0.31003382070286833,-2.0869435088269532,-0.3236666925367201,0.01009979800403992,0.013069799022318683,0.6133333333333333,1.2021750478275037,9.526770219690889,True,True,negative,0.02019959600807984,Strongly supported
filament_diameter__winner_vs_global_mean,filament_diameter,filament_diameter,Filament diameter,µm,random_forest,Random Forest,full_retrospective,Full retrospective,"Random Forest, Full retrospective",Global training mean,54,281.4464832734248,355.3256881419394,-73.87920486851458,-77.03484167192994,147.59046894741044,-0.5005689418524666,-112.27673041386801,-34.04335799646873,0.0007999840003199936,0.001261811161109622,0.7222222222222222,73.87920486851458,20.791968420533276,True,True,negative,0.0023999520009599807,Strongly supported
filament_to_nozzle_ratio__winner_vs_global_mean,filament_diameter,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,"RBF-SVR, Full retrospective",Global training mean,54,0.7855763247064531,0.7923498424786487,-0.006773517772195365,0.003974629588243933,0.24870221257445868,-0.02723545440982938,-0.07343089602641305,0.057962956887064265,0.8422031559368812,0.9896953464727177,0.48148148148148145,0.006773517772195365,0.8548645319353511,True,False,negative,0.8422031559368812,Directionally supported but statistically uncertain
