comparison_id,dataset,target_key,target_label,unit,winner_model_key,winner_model_display_name,winner_feature_set,winner_feature_set_display_name,competitor_model_key,competitor_model_display_name,competitor_feature_set,competitor_feature_set_display_name,n_paired_publications,focal_mean,comparator_mean,mean_difference_focal_minus_comparator,median_difference_focal_minus_comparator,difference_sd,paired_standardized_effect_dz,bootstrap_ci_lower,bootstrap_ci_upper,permutation_p_value,wilcoxon_p_value,probability_publication_favors_claim,claim_aligned_difference,claim_aligned_relative_effect_percent,favorable_mean_direction,favorable_ci_excludes_zero,favorable_direction,adjusted_p_value_bh,winner_statistically_better,winner_statistically_worse,runner_up_model_key,runner_up_feature_set,runner_up_model_display_name,runner_up_feature_set_display_name,adjusted_p_value_holm,claim_support
cell_viability__rbf_svr__full_retrospective__vs__rbf_svr__prospective_design,cell_viability,cell_viability,Cell viability,%,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,rbf_svr,RBF-SVR,prospective_design,Prospective design,75,11.416740073508468,11.508468654349999,-0.09172858084153065,-0.012169112564932139,0.5200081778013715,-0.17639834286715464,-0.20745323724462192,0.026185499325348388,0.1312434378281086,0.15470281462191304,0.5666666666666667,0.09172858084153065,0.7970528798969213,True,False,negative,0.1968651567421629,False,False,rbf_svr,prospective_design,RBF-SVR,Prospective design,0.3937303134843258,Directionally supported but statistically uncertain
filament_diameter__random_forest__full_retrospective__vs__rbf_svr__core_physics,filament_diameter,filament_diameter,Filament diameter,µm,random_forest,Random Forest,full_retrospective,Full retrospective,rbf_svr,RBF-SVR,core_physics,Core physics,54,281.4464832734248,282.05316042938006,-0.6066771559553227,8.217284050051056,123.67140141383653,-0.00490555738044258,-35.0486775547431,31.248642081273534,0.9723513824308785,0.9006437587139426,0.4444444444444444,0.6066771559553227,0.21509319556344847,True,False,negative,0.9723513824308785,False,False,rbf_svr,core_physics,RBF-SVR,Core physics,0.9723513824308785,Directionally supported but statistically uncertain
filament_to_nozzle_ratio__rbf_svr__full_retrospective__vs__elastic_net__core_physics,filament_diameter,filament_to_nozzle_ratio,Filament-to-nozzle ratio,dimensionless,rbf_svr,RBF-SVR,full_retrospective,Full retrospective,elastic_net,Elastic Net,core_physics,Core physics,54,0.7855763247064531,0.8144162843034998,-0.02883995959704639,9.545787071585377e-05,0.27778920217179487,-0.10381958467633569,-0.10359134197090857,0.04360250267665053,0.45082745862706863,0.7730081900020602,0.5,0.02883995959704639,3.5411815987583055,True,False,negative,0.5034998250087496,False,False,elastic_net,core_physics,Elastic Net,Core physics,0.9016549172541373,Directionally supported but statistically uncertain
