dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,model_key,meta_primary_source_id,repeat_count,source_rows,source_mae,source_rmse,source_bias,source_true_mean,source_predicted_mean
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1016/j.biomaterials.2015.05.031,1,6,12.119210554927944,14.953414171928815,5.070957616992831,75.05,80.12095761699283
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1016/j.biomaterials.2016.07.038,1,9,7.093037493313885,7.710449766178196,-1.1450054490370156,80.98888888888888,79.84388343985188
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1016/j.jmbbm.2017.12.018,1,3,20.408457500728705,20.559267592305947,-20.408457500728705,92.33333333333333,71.92487583260463
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1016/j.mtbio.2020.100078,1,5,14.286340632967597,14.38476137937198,-14.286340632967597,94.24,79.9536593670324
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1021/acs.biomac.5b00188,1,2,5.8008973891809035,6.375815058281271,2.6458660467983606,78.65,81.29586604679835
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1021/acs.biomac.9b01204,1,12,6.726516970620914,7.636992230247962,5.02789876849821,76.18333333333334,81.21123210183154
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1021/acsami.7b04216,1,3,19.952550149166978,19.990813526730207,-19.952550149166978,95.33333333333333,75.38078318416636
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1021/acsami.7b16059,1,12,11.626476819467996,12.524152960965012,-2.1854704309675115,83.68333333333334,81.49786290236582
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1021/acsami.9b09782,1,6,6.08859080315073,7.211132406722866,-2.3991057427855202,80.48333333333333,78.08422759054781
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1021/acsbiomaterials.9b00167,1,12,14.18271713681313,15.779573279017464,-12.499776311338834,90.45833333333333,77.9585570219945
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1038/s41598-017-17286-1,1,2,5.095520268004499,5.193200655823406,-5.095520268004499,86.02250000000001,80.9269797319955
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1038/s41598-018-26407-3,1,20,18.80564647809513,19.046313602582703,-18.80564647809513,88.425,69.61935352190487
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1038/s41598-019-55034-9,1,15,15.193320349848932,17.603065622856874,1.0429658439639347,80.19066666666666,81.2336325106306
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,elastic_net,doi:10.1038/s41598-020-65050-9,1,18,21.909354596326672,24.864377492493404,21.909354596326672,56.422222222222224,78.33157681854888
