dataset,target_family,target_key,target_column,target_label,unit,feature_set,validation_design,repeat,model_key,model_display_name,feature_set_display_name,validation_display_name,prediction_rows,publication_count,mae,median_absolute_error,rmse,bias,r2,pearson_r,calibration_intercept,calibration_slope,macro_publication_mae,macro_publication_rmse,macro_publication_absolute_bias,publication_mean_mae,publication_mean_rmse,publication_mean_r2,publication_mean_pearson_r
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,1,elastic_net,Elastic Net,Core physics,LOPO,608,75,13.620745331336733,11.932328955562085,17.25372143314668,-0.21248104441531493,-0.031242729953156356,0.034495784735756194,66.8914983665788,0.16108098178539126,13.01615905429834,14.494350037049918,10.246361452826251,10.24636145282625,12.578048297528825,-0.1781938359530142,-0.07270644427463582
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,1,random_forest,Random Forest,Core physics,LOPO,608,75,12.680496535319888,10.33671563492063,17.153325327839248,1.6819822320931828,-0.019276437873259944,0.1281011689264214,43.62294554798797,0.44326788302042186,11.865601481509602,13.603341188384258,9.587402924917363,9.587402924917361,12.196350263850182,-0.10777103847345981,0.09117891668446874
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,1,rbf_svr,RBF-SVR,Core physics,LOPO,608,75,12.965900545654314,10.21615980484765,17.913734360093724,4.5640293189260985,-0.11164878000031031,-0.064091599106322,117.01294344478367,-0.4429032280025149,11.633662007782428,13.426603694982134,9.504827612934527,9.504827612934525,12.325954016506241,-0.13143944847759848,-0.1423647438004351
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,leave_one_publication_out,1,ridge,Ridge regression,Core physics,LOPO,608,75,13.822324391305038,11.546399911354484,17.72206520146621,-0.27429856450046325,-0.08798772636779595,0.05499883744252361,67.43341763755149,0.1543829211528208,13.47459742556859,15.025758184950849,10.742589791563738,10.742589791563736,13.452084131290245,-0.3476259954101921,-0.047168020373308465
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,1,elastic_net,Elastic Net,Core physics,Publication-grouped,608,75,14.212425719107562,12.412480154412812,17.882555278457556,-0.6264806807128206,-0.10778247003746166,-0.04858220053248849,93.35296057842426,-0.1727424660347232,13.400162030948554,14.838651116365714,10.666300683144565,10.666300683144565,13.119960071953013,-0.281903274650261,-0.11250808422918808
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,1,random_forest,Random Forest,Core physics,Publication-grouped,608,75,13.416152139651683,11.1359717219501,17.64115290195443,1.5210585461988488,-0.07807571801185453,-0.00681217015585572,81.83922858239056,-0.02640725082553993,12.682751273740163,14.331205791316666,10.472146351493732,10.472146351493736,12.967284452811707,-0.2522421148191436,-0.11149305230317226
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,1,rbf_svr,RBF-SVR,Core physics,Publication-grouped,608,75,12.973799941664918,10.29085223141827,17.675688819345933,4.374867061264124,-0.08230092696949365,-0.0018128087221661326,80.9168126722158,-0.01453875917129371,11.602764731949021,13.382966958627163,9.515239946914416,9.515239946914418,12.182507272224859,-0.10525780094641157,-0.10831109069386284
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,1,ridge,Ridge regression,Core physics,Publication-grouped,608,75,14.764582222138236,12.098532047671505,18.94363816765334,-0.6785717507015773,-0.24314593959360842,-0.0609886013842463,90.79177510702472,-0.140442831676806,13.974985350956649,15.46630208675109,11.251970157249808,11.251970157249808,14.285094648351324,-0.5196951403523524,-0.10781934438754731
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,2,elastic_net,Elastic Net,Core physics,Publication-grouped,608,75,14.035527890914379,12.139295606370844,18.033781038802445,0.5664657861083179,-0.1265978564717991,0.0326599405611938,72.9455739542845,0.08408782109975926,13.37076562253114,14.918048442913953,10.616327309528934,10.616327309528936,13.183461978360812,-0.29434238290140735,-0.09671396672736184
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,2,random_forest,Random Forest,Core physics,Publication-grouped,608,75,13.430834652138575,10.442503359788375,17.972748377113415,1.9078164069861228,-0.11898515307822133,-0.033184985520799605,88.88492828200464,-0.11262395012089797,12.664988188364791,14.435943619876277,10.477032735702107,10.477032735702107,13.159447514906661,-0.28963123370730903,-0.05472034062837411
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,2,rbf_svr,RBF-SVR,Core physics,Publication-grouped,608,75,12.995355948925564,10.25445702888937,17.871595554782918,4.984544737176108,-0.10642502764337891,0.009333469375867282,74.50557316783394,0.061278107503873414,11.762312819493424,13.515779882597924,9.61060542418293,9.61060542418293,12.416570915403902,-0.14813664052781328,-0.13238970777114767
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,2,ridge,Ridge regression,Core physics,Publication-grouped,608,75,14.507302391521094,12.489277901875887,18.574567568913952,0.6455801570134764,-0.19517846590705168,0.017938919005968907,76.5509292699909,0.039128870109285285,14.077863509454414,15.643066871602427,11.48375229617612,11.483752296176121,14.189697313334822,-0.49946555259942205,-0.1043138632626722
cell_viability,raw_outcome,cell_viability,cell_viability_percent,Cell viability,%,core_physics,publication_grouped,3,elastic_net,Elastic Net,Core physics,Publication-grouped,608,75,14.122225072741335,12.10092920513663,18.091295749828898,0.10339847273307051,-0.1337953793998472,-0.007733371964914502,81.41793409768148,-0.02159687664942341,13.362330909038588,14.912036790172245,10.791321784466136,10.791321784466133,13.350894912629238,-0.3274280339332134,-0.07152959942999218
