dataset,target_family,feature_set,feature_order,original_column,canonical_name
cell_viability,raw_outcome,prospective_design,10,Final_Chitosan_Conc_(%w/v),final_chitosan_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,11,Final_CS-AEMA_Conc_(%w/v),final_cs_aema_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,12,Final_TCP_Conc_(%w/v),final_tcp_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,13,Final_Gellan_Conc_(%w/v),final_gellan_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,14,Final_Nano/Methycellulose_Conc_(%w/v),final_nano_or_methylcellulose_concentration_pct_wv
cell_viability,raw_outcome,prospective_design,15,Final_PEGTA_Conc_(%w/v),final_pegta_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,16,Final_PEGMA_Conc_(%w/v),final_pegma_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,17,Final_PEGDA_Conc_(%w/v),final_pegda_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,18,Final_Agarose_Conc_(%w/v),final_agarose_conc_pctw_or_v
cell_viability,raw_outcome,prospective_design,19,CaCl2_Conc_(mM),cacl2_conc_mm
cell_viability,raw_outcome,prospective_design,20,NaCl2_Conc_(mM),source_nacl2_concentration_mm
cell_viability,raw_outcome,prospective_design,21,BaCl2_Conc_(mM),bacl2_conc_mm
cell_viability,raw_outcome,prospective_design,22,SrCl2_Conc_(mM),srcl2_conc_mm
cell_viability,raw_outcome,prospective_design,23,Physical_Crosslinking_Durantion_(s),physical_crosslinking_duration_s
cell_viability,raw_outcome,prospective_design,24,Photocrosslinking_Duration_(s),photocrosslinking_duration_s
cell_viability,raw_outcome,prospective_design,25,Extrusion_Pressure (kPa),extrusion_pressure_kpa
cell_viability,raw_outcome,prospective_design,26,Extrusion_Rate_Lengthwise_(mm/s),extrusion_rate_lengthwise_mm_or_s
cell_viability,raw_outcome,prospective_design,27,Extrusion_Rate_Volume-wise_(mL/s),extrusion_rate_volume_wise_ml_or_s
cell_viability,raw_outcome,prospective_design,28,Nozzle_Movement_Speed_(mm/s),nozzle_movement_speed_mm_or_s
cell_viability,raw_outcome,prospective_design,29,Inner_Nozzle_Outer_Diameter_(µm),inner_nozzle_outer_diameter_um
cell_viability,raw_outcome,prospective_design,30,Outer_Nozzle_Inner_Diameter_(µm),outer_nozzle_inner_diameter_um
cell_viability,raw_outcome,prospective_design,31,Cell_Density_(cells/mL),cell_density_cells_or_ml
cell_viability,raw_outcome,prospective_design,32,Syringe_Temperature_(°C),syringe_temperature_degc
cell_viability,raw_outcome,prospective_design,33,Substrate_Temperature_(°C),substrate_temperature_degc
cell_viability,raw_outcome,prospective_design,34,Days_Observed,days_observed
cell_viability,raw_outcome,prospective_design,35,Cell_Culture_Medium_Used?,cell_culture_medium_used
cell_viability,raw_outcome,prospective_design,36,DI_Water_Used?,di_water_used
cell_viability,raw_outcome,prospective_design,37,Precrosslinking_Solution_Used?,precrosslinking_solution_used
cell_viability,raw_outcome,prospective_design,38,Saline_Solution_Used?,saline_solution_used
cell_viability,raw_outcome,prospective_design,39,EtOH_Solution_Used?,etoh_solution_used
cell_viability,raw_outcome,prospective_design,40,Photoinitiator_Used?,photoinitiator_used
cell_viability,raw_outcome,prospective_design,41,Enzymatic_Crosslinker_Used?,enzymatic_crosslinker_used
cell_viability,raw_outcome,prospective_design,42,Matrigel_Used?,matrigel_used
cell_viability,raw_outcome,prospective_design,43,Conical_or_Straight_Nozzle,conical_or_straight_nozzle
cell_viability,raw_outcome,prospective_design,44,Primary/Not_Primary,primary_or_not_primary
cell_viability,raw_outcome,full_retrospective,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,4,Final_Hyaluronic_Acid_Conc_(%w/v),final_hyaluronic_acid_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,5,Final_MeHA_Conc_(%w/v),final_meha_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,6,Final_NorHA_Conc_(%w/v),final_norha_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,7,Final_Fibroin/Fibrinogen_Conc_(%w/v),final_fibroin_or_fibrinogen_concentration_pct_wv
cell_viability,raw_outcome,full_retrospective,8,Final_P127_Conc_(%w/v),final_p127_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,9,Final_Collagen_Conc_(%w/v),final_collagen_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,10,Final_Chitosan_Conc_(%w/v),final_chitosan_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,11,Final_CS-AEMA_Conc_(%w/v),final_cs_aema_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,12,Final_TCP_Conc_(%w/v),final_tcp_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,13,Final_Gellan_Conc_(%w/v),final_gellan_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,14,Final_Nano/Methycellulose_Conc_(%w/v),final_nano_or_methylcellulose_concentration_pct_wv
cell_viability,raw_outcome,full_retrospective,15,Final_PEGTA_Conc_(%w/v),final_pegta_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,16,Final_PEGMA_Conc_(%w/v),final_pegma_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,17,Final_PEGDA_Conc_(%w/v),final_pegda_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,18,Final_Agarose_Conc_(%w/v),final_agarose_conc_pctw_or_v
cell_viability,raw_outcome,full_retrospective,19,CaCl2_Conc_(mM),cacl2_conc_mm
cell_viability,raw_outcome,full_retrospective,20,NaCl2_Conc_(mM),source_nacl2_concentration_mm
cell_viability,raw_outcome,full_retrospective,21,BaCl2_Conc_(mM),bacl2_conc_mm
cell_viability,raw_outcome,full_retrospective,22,SrCl2_Conc_(mM),srcl2_conc_mm
cell_viability,raw_outcome,full_retrospective,23,Physical_Crosslinking_Durantion_(s),physical_crosslinking_duration_s
cell_viability,raw_outcome,full_retrospective,24,Photocrosslinking_Duration_(s),photocrosslinking_duration_s
cell_viability,raw_outcome,full_retrospective,25,Extrusion_Pressure (kPa),extrusion_pressure_kpa
cell_viability,raw_outcome,full_retrospective,26,Extrusion_Rate_Lengthwise_(mm/s),extrusion_rate_lengthwise_mm_or_s
cell_viability,raw_outcome,full_retrospective,27,Extrusion_Rate_Volume-wise_(mL/s),extrusion_rate_volume_wise_ml_or_s
cell_viability,raw_outcome,full_retrospective,28,Nozzle_Movement_Speed_(mm/s),nozzle_movement_speed_mm_or_s
cell_viability,raw_outcome,full_retrospective,29,Inner_Nozzle_Outer_Diameter_(µm),inner_nozzle_outer_diameter_um
cell_viability,raw_outcome,full_retrospective,30,Outer_Nozzle_Inner_Diameter_(µm),outer_nozzle_inner_diameter_um
cell_viability,raw_outcome,full_retrospective,31,Fiber_Diameter_(µm),fiber_diameter_um
cell_viability,raw_outcome,full_retrospective,32,Fiber_Spacing_(µm),fiber_spacing_um
cell_viability,raw_outcome,full_retrospective,33,Cell_Density_(cells/mL),cell_density_cells_or_ml
cell_viability,raw_outcome,full_retrospective,34,Syringe_Temperature_(°C),syringe_temperature_degc
cell_viability,raw_outcome,full_retrospective,35,Substrate_Temperature_(°C),substrate_temperature_degc
cell_viability,raw_outcome,full_retrospective,36,Days_Observed,days_observed
cell_viability,raw_outcome,full_retrospective,37,Cell_Culture_Medium_Used?,cell_culture_medium_used
cell_viability,raw_outcome,full_retrospective,38,DI_Water_Used?,di_water_used
cell_viability,raw_outcome,full_retrospective,39,Precrosslinking_Solution_Used?,precrosslinking_solution_used
cell_viability,raw_outcome,full_retrospective,40,Saline_Solution_Used?,saline_solution_used
cell_viability,raw_outcome,full_retrospective,41,EtOH_Solution_Used?,etoh_solution_used
cell_viability,raw_outcome,full_retrospective,42,Photoinitiator_Used?,photoinitiator_used
cell_viability,raw_outcome,full_retrospective,43,Enzymatic_Crosslinker_Used?,enzymatic_crosslinker_used
cell_viability,raw_outcome,full_retrospective,44,Matrigel_Used?,matrigel_used
cell_viability,raw_outcome,full_retrospective,45,Conical_or_Straight_Nozzle,conical_or_straight_nozzle
cell_viability,raw_outcome,full_retrospective,46,Primary/Not_Primary,primary_or_not_primary
filament_diameter,raw_outcome,core_physics,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
filament_diameter,raw_outcome,core_physics,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
filament_diameter,raw_outcome,core_physics,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
filament_diameter,raw_outcome,core_physics,4,CaCl2_Conc_(mM),cacl2_conc_mm
filament_diameter,raw_outcome,core_physics,5,Physical_Crosslinking_Durantion_(s),physical_crosslinking_duration_s
filament_diameter,raw_outcome,core_physics,6,Photocrosslinking_Duration_(s),photocrosslinking_duration_s
filament_diameter,raw_outcome,core_physics,7,Extrusion_Pressure (kPa),extrusion_pressure_kpa
filament_diameter,raw_outcome,core_physics,8,Nozzle_Movement_Speed_(mm/s),nozzle_movement_speed_mm_or_s
filament_diameter,raw_outcome,core_physics,9,Outer_Nozzle_Inner_Diameter_(µm),outer_nozzle_inner_diameter_um
filament_diameter,raw_outcome,core_physics,10,Cell_Density_(cells/mL),cell_density_cells_or_ml
filament_diameter,raw_outcome,core_physics,11,Syringe_Temperature_(°C),syringe_temperature_degc
filament_diameter,raw_outcome,core_physics,12,Substrate_Temperature_(°C),substrate_temperature_degc
filament_diameter,raw_outcome,core_physics,13,Days_Observed,days_observed
filament_diameter,raw_outcome,core_physics,14,Conical_or_Straight_Nozzle,conical_or_straight_nozzle
filament_diameter,raw_outcome,prospective_design,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,4,Final_Hyaluronic_Acid_Conc_(%w/v),final_hyaluronic_acid_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,5,Final_MeHA_Conc_(%w/v),final_meha_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,6,Final_NorHA_Conc_(%w/v),final_norha_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,7,Final_Fibronin/Fibrinogen_Conc_(%w/v),final_fibroin_or_fibrinogen_concentration_pct_wv
filament_diameter,raw_outcome,prospective_design,8,Final_P127_Conc_(%w/v),final_p127_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,9,Final_Collagen_Conc_(%w/v),final_collagen_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,10,Final_TCP_Conc_(%w/v)_(%w/v),final_tcp_concentration_pct_wv
filament_diameter,raw_outcome,prospective_design,11,Final_Gellan_Conc_(%w/v),final_gellan_conc_pctw_or_v
filament_diameter,raw_outcome,prospective_design,12,Final_Nano/Methycellulose_Conc_(%w/v),final_nano_or_methylcellulose_concentration_pct_wv
filament_diameter,raw_outcome,prospective_design,13,PEGDA_Conc_(%w/v),final_pegda_concentration_pct_wv
filament_diameter,raw_outcome,prospective_design,14,Agarose_Conc_(%w/v),final_agarose_concentration_pct_wv
filament_diameter,raw_outcome,prospective_design,15,CaCl2_Conc_(mM),cacl2_conc_mm
filament_diameter,raw_outcome,prospective_design,16,NaCl2_Conc_(mM),source_nacl2_concentration_mm
filament_diameter,raw_outcome,prospective_design,17,BaCl2_Conc_(mM),bacl2_conc_mm
filament_diameter,raw_outcome,prospective_design,18,SrCl2_Conc_(mM),srcl2_conc_mm
filament_diameter,raw_outcome,prospective_design,19,Physical_Crosslinking_Durantion_(s),physical_crosslinking_duration_s
filament_diameter,raw_outcome,prospective_design,20,Photocrosslinking_Duration_(s),photocrosslinking_duration_s
filament_diameter,raw_outcome,prospective_design,21,Extrusion_Pressure (kPa),extrusion_pressure_kpa
filament_diameter,raw_outcome,prospective_design,22,Extrusion_Rate_Lengthwise_(mm/s),extrusion_rate_lengthwise_mm_or_s
filament_diameter,raw_outcome,prospective_design,23,Extrusion_Rate_Volume-wise_(mL/s),extrusion_rate_volume_wise_ml_or_s
filament_diameter,raw_outcome,prospective_design,24,Nozzle_Movement_Speed_(mm/s),nozzle_movement_speed_mm_or_s
filament_diameter,raw_outcome,prospective_design,25,Inner_Nozzle_Outer_Diameter_(µm),inner_nozzle_outer_diameter_um
filament_diameter,raw_outcome,prospective_design,26,Outer_Nozzle_Inner_Diameter_(µm),outer_nozzle_inner_diameter_um
filament_diameter,raw_outcome,prospective_design,27,Cell_Density_(cells/mL),cell_density_cells_or_ml
filament_diameter,raw_outcome,prospective_design,28,Syringe_Temperature_(°C),syringe_temperature_degc
filament_diameter,raw_outcome,prospective_design,29,Substrate_Temperature_(°C),substrate_temperature_degc
filament_diameter,raw_outcome,prospective_design,30,Days_Observed,days_observed
filament_diameter,raw_outcome,prospective_design,31,Cell_Culture_Medium_Used?,cell_culture_medium_used
filament_diameter,raw_outcome,prospective_design,32,DI_Water_Used?,di_water_used
filament_diameter,raw_outcome,prospective_design,33,Precrosslinking_Solution_Used?,precrosslinking_solution_used
filament_diameter,raw_outcome,prospective_design,34,Saline_Solution_Used?,saline_solution_used
filament_diameter,raw_outcome,prospective_design,35,EtOH_Solution_Used?,etoh_solution_used
filament_diameter,raw_outcome,prospective_design,36,Photoinitiator_Used?,photoinitiator_used
filament_diameter,raw_outcome,prospective_design,37,Enzymatic_Crosslinker_Used?,enzymatic_crosslinker_used
filament_diameter,raw_outcome,prospective_design,38,Conical_or_Straight_Nozzle,conical_or_straight_nozzle
filament_diameter,raw_outcome,full_retrospective,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,4,Final_Hyaluronic_Acid_Conc_(%w/v),final_hyaluronic_acid_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,5,Final_MeHA_Conc_(%w/v),final_meha_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,6,Final_NorHA_Conc_(%w/v),final_norha_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,7,Final_Fibronin/Fibrinogen_Conc_(%w/v),final_fibroin_or_fibrinogen_concentration_pct_wv
filament_diameter,raw_outcome,full_retrospective,8,Final_P127_Conc_(%w/v),final_p127_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,9,Final_Collagen_Conc_(%w/v),final_collagen_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,10,Final_TCP_Conc_(%w/v)_(%w/v),final_tcp_concentration_pct_wv
filament_diameter,raw_outcome,full_retrospective,11,Final_Gellan_Conc_(%w/v),final_gellan_conc_pctw_or_v
filament_diameter,raw_outcome,full_retrospective,12,Final_Nano/Methycellulose_Conc_(%w/v),final_nano_or_methylcellulose_concentration_pct_wv
filament_diameter,raw_outcome,full_retrospective,13,PEGDA_Conc_(%w/v),final_pegda_concentration_pct_wv
filament_diameter,raw_outcome,full_retrospective,14,Agarose_Conc_(%w/v),final_agarose_concentration_pct_wv
filament_diameter,raw_outcome,full_retrospective,15,CaCl2_Conc_(mM),cacl2_conc_mm
filament_diameter,raw_outcome,full_retrospective,16,NaCl2_Conc_(mM),source_nacl2_concentration_mm
filament_diameter,raw_outcome,full_retrospective,17,BaCl2_Conc_(mM),bacl2_conc_mm
filament_diameter,raw_outcome,full_retrospective,18,SrCl2_Conc_(mM),srcl2_conc_mm
filament_diameter,raw_outcome,full_retrospective,19,Physical_Crosslinking_Durantion_(s),physical_crosslinking_duration_s
filament_diameter,raw_outcome,full_retrospective,20,Photocrosslinking_Duration_(s),photocrosslinking_duration_s
filament_diameter,raw_outcome,full_retrospective,21,Extrusion_Pressure (kPa),extrusion_pressure_kpa
filament_diameter,raw_outcome,full_retrospective,22,Extrusion_Rate_Lengthwise_(mm/s),extrusion_rate_lengthwise_mm_or_s
filament_diameter,raw_outcome,full_retrospective,23,Extrusion_Rate_Volume-wise_(mL/s),extrusion_rate_volume_wise_ml_or_s
filament_diameter,raw_outcome,full_retrospective,24,Nozzle_Movement_Speed_(mm/s),nozzle_movement_speed_mm_or_s
filament_diameter,raw_outcome,full_retrospective,25,Inner_Nozzle_Outer_Diameter_(µm),inner_nozzle_outer_diameter_um
filament_diameter,raw_outcome,full_retrospective,26,Outer_Nozzle_Inner_Diameter_(µm),outer_nozzle_inner_diameter_um
filament_diameter,raw_outcome,full_retrospective,27,Cell_Density_(cells/mL),cell_density_cells_or_ml
filament_diameter,raw_outcome,full_retrospective,28,Syringe_Temperature_(°C),syringe_temperature_degc
filament_diameter,raw_outcome,full_retrospective,29,Substrate_Temperature_(°C),substrate_temperature_degc
filament_diameter,raw_outcome,full_retrospective,30,Days_Observed,days_observed
filament_diameter,raw_outcome,full_retrospective,31,Construct_Base_Area_(mm^2),construct_base_area_mm_2
filament_diameter,raw_outcome,full_retrospective,32,Construct_Total_Thickness_(mm),construct_total_thickness_mm
filament_diameter,raw_outcome,full_retrospective,33,Cell_Culture_Medium_Used?,cell_culture_medium_used
filament_diameter,raw_outcome,full_retrospective,34,DI_Water_Used?,di_water_used
filament_diameter,raw_outcome,full_retrospective,35,Precrosslinking_Solution_Used?,precrosslinking_solution_used
filament_diameter,raw_outcome,full_retrospective,36,Saline_Solution_Used?,saline_solution_used
filament_diameter,raw_outcome,full_retrospective,37,EtOH_Solution_Used?,etoh_solution_used
filament_diameter,raw_outcome,full_retrospective,38,Photoinitiator_Used?,photoinitiator_used
filament_diameter,raw_outcome,full_retrospective,39,Enzymatic_Crosslinker_Used?,enzymatic_crosslinker_used
filament_diameter,raw_outcome,full_retrospective,40,Conical_or_Straight_Nozzle,conical_or_straight_nozzle
filament_diameter,filament_to_nozzle_ratio,core_physics,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,core_physics,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,core_physics,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,core_physics,4,CaCl2_Conc_(mM),cacl2_conc_mm
filament_diameter,filament_to_nozzle_ratio,core_physics,5,Physical_Crosslinking_Durantion_(s),physical_crosslinking_duration_s
filament_diameter,filament_to_nozzle_ratio,core_physics,6,Photocrosslinking_Duration_(s),photocrosslinking_duration_s
filament_diameter,filament_to_nozzle_ratio,core_physics,7,Extrusion_Pressure (kPa),extrusion_pressure_kpa
filament_diameter,filament_to_nozzle_ratio,core_physics,8,Nozzle_Movement_Speed_(mm/s),nozzle_movement_speed_mm_or_s
filament_diameter,filament_to_nozzle_ratio,core_physics,9,Cell_Density_(cells/mL),cell_density_cells_or_ml
filament_diameter,filament_to_nozzle_ratio,core_physics,10,Syringe_Temperature_(°C),syringe_temperature_degc
filament_diameter,filament_to_nozzle_ratio,core_physics,11,Substrate_Temperature_(°C),substrate_temperature_degc
filament_diameter,filament_to_nozzle_ratio,core_physics,12,Days_Observed,days_observed
filament_diameter,filament_to_nozzle_ratio,core_physics,13,Conical_or_Straight_Nozzle,conical_or_straight_nozzle
filament_diameter,filament_to_nozzle_ratio,prospective_design,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,4,Final_Hyaluronic_Acid_Conc_(%w/v),final_hyaluronic_acid_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,5,Final_MeHA_Conc_(%w/v),final_meha_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,6,Final_NorHA_Conc_(%w/v),final_norha_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,7,Final_Fibronin/Fibrinogen_Conc_(%w/v),final_fibroin_or_fibrinogen_concentration_pct_wv
filament_diameter,filament_to_nozzle_ratio,prospective_design,8,Final_P127_Conc_(%w/v),final_p127_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,9,Final_Collagen_Conc_(%w/v),final_collagen_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,10,Final_TCP_Conc_(%w/v)_(%w/v),final_tcp_concentration_pct_wv
filament_diameter,filament_to_nozzle_ratio,prospective_design,11,Final_Gellan_Conc_(%w/v),final_gellan_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,prospective_design,12,Final_Nano/Methycellulose_Conc_(%w/v),final_nano_or_methylcellulose_concentration_pct_wv
filament_diameter,filament_to_nozzle_ratio,prospective_design,13,PEGDA_Conc_(%w/v),final_pegda_concentration_pct_wv
filament_diameter,filament_to_nozzle_ratio,prospective_design,14,Agarose_Conc_(%w/v),final_agarose_concentration_pct_wv
filament_diameter,filament_to_nozzle_ratio,prospective_design,15,CaCl2_Conc_(mM),cacl2_conc_mm
filament_diameter,filament_to_nozzle_ratio,prospective_design,16,NaCl2_Conc_(mM),source_nacl2_concentration_mm
filament_diameter,filament_to_nozzle_ratio,prospective_design,17,BaCl2_Conc_(mM),bacl2_conc_mm
filament_diameter,filament_to_nozzle_ratio,prospective_design,18,SrCl2_Conc_(mM),srcl2_conc_mm
filament_diameter,filament_to_nozzle_ratio,prospective_design,19,Physical_Crosslinking_Durantion_(s),physical_crosslinking_duration_s
filament_diameter,filament_to_nozzle_ratio,prospective_design,20,Photocrosslinking_Duration_(s),photocrosslinking_duration_s
filament_diameter,filament_to_nozzle_ratio,prospective_design,21,Extrusion_Pressure (kPa),extrusion_pressure_kpa
filament_diameter,filament_to_nozzle_ratio,prospective_design,22,Extrusion_Rate_Lengthwise_(mm/s),extrusion_rate_lengthwise_mm_or_s
filament_diameter,filament_to_nozzle_ratio,prospective_design,23,Extrusion_Rate_Volume-wise_(mL/s),extrusion_rate_volume_wise_ml_or_s
filament_diameter,filament_to_nozzle_ratio,prospective_design,24,Nozzle_Movement_Speed_(mm/s),nozzle_movement_speed_mm_or_s
filament_diameter,filament_to_nozzle_ratio,prospective_design,25,Inner_Nozzle_Outer_Diameter_(µm),inner_nozzle_outer_diameter_um
filament_diameter,filament_to_nozzle_ratio,prospective_design,26,Cell_Density_(cells/mL),cell_density_cells_or_ml
filament_diameter,filament_to_nozzle_ratio,prospective_design,27,Syringe_Temperature_(°C),syringe_temperature_degc
filament_diameter,filament_to_nozzle_ratio,prospective_design,28,Substrate_Temperature_(°C),substrate_temperature_degc
filament_diameter,filament_to_nozzle_ratio,prospective_design,29,Days_Observed,days_observed
filament_diameter,filament_to_nozzle_ratio,prospective_design,30,Cell_Culture_Medium_Used?,cell_culture_medium_used
filament_diameter,filament_to_nozzle_ratio,prospective_design,31,DI_Water_Used?,di_water_used
filament_diameter,filament_to_nozzle_ratio,prospective_design,32,Precrosslinking_Solution_Used?,precrosslinking_solution_used
filament_diameter,filament_to_nozzle_ratio,prospective_design,33,Saline_Solution_Used?,saline_solution_used
filament_diameter,filament_to_nozzle_ratio,prospective_design,34,EtOH_Solution_Used?,etoh_solution_used
filament_diameter,filament_to_nozzle_ratio,prospective_design,35,Photoinitiator_Used?,photoinitiator_used
filament_diameter,filament_to_nozzle_ratio,prospective_design,36,Enzymatic_Crosslinker_Used?,enzymatic_crosslinker_used
filament_diameter,filament_to_nozzle_ratio,prospective_design,37,Conical_or_Straight_Nozzle,conical_or_straight_nozzle
filament_diameter,filament_to_nozzle_ratio,full_retrospective,1,Final_Alginate_Conc_(%w/v),final_alginate_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,full_retrospective,2,Final_Gelatin_Conc_(%w/v),final_gelatin_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,full_retrospective,3,Final_GelMA_Conc_(%w/v),final_gelma_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,full_retrospective,4,Final_Hyaluronic_Acid_Conc_(%w/v),final_hyaluronic_acid_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,full_retrospective,5,Final_MeHA_Conc_(%w/v),final_meha_conc_pctw_or_v
filament_diameter,filament_to_nozzle_ratio,full_retrospective,6,Final_NorHA_Conc_(%w/v),final_norha_conc_pctw_or_v
