dataset,target_key,target_label,unit,feature_set,validation_design,repeat,model_variant,model_display_name,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae,source_seen_fraction
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,608,75,13.182491924992117,17.28959514460166,1.0602453459090104,-0.03553548076890678,12.043421384459515,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,merf_conditional,Conditional MERF,608,75,13.125535575826868,17.162826775708396,0.774359566730813,-0.02040593130575097,12.00375864476954,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,merf_marginal,Marginal MERF,608,75,13.12553557582687,17.162826775708396,0.7743595667308135,-0.02040593130575097,12.003758644769539,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,tuned_rf_reference,Tuned Random Forest,608,75,12.415523043071238,16.582691354340106,1.4192630674522897,0.0474114193597972,11.34694029049387,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,matched_fixed_rf,Matched fixed Random Forest,608,75,13.964739685398232,18.257637150629254,1.460318648376833,-0.15474071658745836,12.489184998918269,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,merf_conditional,Conditional MERF,608,75,13.810414160464685,18.164056023399077,1.793403749728096,-0.14293360304505498,12.421455570672185,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,merf_marginal,Marginal MERF,608,75,13.810414160464683,18.164056023399077,1.7934037497280964,-0.14293360304505498,12.421455570672185,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,2,tuned_rf_reference,Tuned Random Forest,608,75,13.379457040994069,17.77524000743093,2.126923794278145,-0.09452650499675608,12.326132099216379,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,matched_fixed_rf,Matched fixed Random Forest,608,75,12.772020492246572,16.796632183722462,1.1885129549898756,0.022673307886779015,11.449084904516097,0.0
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,3,merf_conditional,Conditional MERF,608,75,13.002872293419951,16.984072050459215,0.93867241918269,0.0007388956181190176,11.638775231484438,0.0
