dataset,target_key,target_label,unit,feature_set,validation_design,repeat,model_variant,model_display_name,meta_primary_source_id,source_rows,source_mae,source_mse,source_bias,source_seen_fraction,source_rmse
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.biomaterials.2016.07.038,9,20.498686107678306,454.1461533301001,-20.498686107678306,0.0,21.310705134511625
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.jmbbm.2017.12.018,3,13.073102034471356,175.01925564072917,-13.073102034471356,0.0,13.229484330113898
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1016/j.mtbio.2020.100078,5,8.88757856891257,82.32174700755758,-8.88757856891257,0.0,9.073133251945414
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acs.biomac.5b00188,2,10.83829710607479,140.79887606664118,-10.83829710607479,0.0,11.865870219526302
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acs.biomac.9b01204,12,9.732955934775083,119.6749165845725,9.472417998575485,0.0,10.939603127379554
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.7b04216,3,18.333265940386777,345.23792431783795,-18.333265940386777,0.0,18.580579224497765
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.7b16059,12,10.352888519728742,131.7364374751359,1.3310271180285713,0.0,11.477649475181575
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsami.9b09782,6,5.942092063492062,46.71695651192436,-0.25985590583707346,0.0,6.83498035929324
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1021/acsbiomaterials.9b00167,12,18.23711058752976,396.91742360291937,-18.23711058752976,0.0,19.922786542121045
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-017-17286-1,2,1.0025000000000048,1.8928087563453706,0.942232724089628,0.0,1.3757938640455447
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-018-26407-3,20,7.447103553825758,71.81219761775944,-7.447103553825758,0.0,8.474207787029973
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-019-55034-9,15,14.130536671563652,300.05296246640853,3.9143504082207214,0.0,17.32203690292826
cell_viability,cell_viability,Cell viability,%,prospective_design,publication_grouped,1,matched_fixed_rf,Matched fixed Random Forest,doi:10.1038/s41598-020-65050-9,18,18.072692910909588,468.26478778245314,17.997496664473864,0.0,21.639426697175995
